Object	Object type	Relation source	Relation source type	Relation target	Relation target type
mitogen-activated protein kinase 14 isoform 1 [Homo sapiens] interacts with mitogen-activated protein kinase kinase 6 [Homo sapiens]	Helper_PPI (good experimental evidence)	mitogen-activated protein kinase 14 isoform 1 [Homo sapiens]	Protein	mitogen-activated protein kinase kinase 6 [Homo sapiens]	Protein
bone morphogenetic protein receptor, type IB [Homo sapiens] interacts with kappa B-ras 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	bone morphogenetic protein receptor, type IB [Homo sapiens]	Protein	kappa B-ras 1 [Homo sapiens]	Protein
beta isoform of regulatory subunit A, protein phosphatase 2 isoform a [Homo sapiens] interacts with protein phosphatase 2, catalytic subunit, alpha isoform [Homo sapiens]	Helper_PPI (good experimental evidence)	beta isoform of regulatory subunit A, protein phosphatase 2 isoform a [Homo sapiens]	Protein	protein phosphatase 2, catalytic subunit, alpha isoform [Homo sapiens]	Protein
c-src tyrosine kinase [Homo sapiens] interacts with CD247 molecule [Homo sapiens]	Helper_PPI (good experimental evidence)	c-src tyrosine kinase [Homo sapiens]	Protein	CD247 molecule [Homo sapiens]	Protein
amyloid beta A4 protein precursor, isoform a [Homo sapiens] interacts with glial fibrillary acidic protein [Homo sapiens]	Helper_PPI (good experimental evidence)	amyloid beta A4 protein precursor, isoform a [Homo sapiens]	Protein	glial fibrillary acidic protein [Homo sapiens]	Protein
heparan sulfate proteoglycan 2 [Homo sapiens] interacts with fibulin 1 isoform C precursor [Homo sapiens]	Helper_PPI (good experimental evidence)	heparan sulfate proteoglycan 2 [Homo sapiens]	Protein	fibulin 1 isoform C precursor [Homo sapiens]	Protein
cAMP-dependent protein kinase, regulatory subunit alpha 1 [Homo sapiens] interacts with PYD and CARD domain containing isoform a [Homo sapiens]	Helper_PPI (good experimental evidence)	cAMP-dependent protein kinase, regulatory subunit alpha 1 [Homo sapiens]	Protein	PYD and CARD domain containing isoform a [Homo sapiens]	Protein
neural precursor cell expressed, developmentally down-regulated 4 isoform 1 [Homo sapiens] interacts with sodium channel, nonvoltage-gated 1 alpha [Homo sapiens]	Helper_PPI (good experimental evidence)	neural precursor cell expressed, developmentally down-regulated 4 isoform 1 [Homo sapiens]	Protein	sodium channel, nonvoltage-gated 1 alpha [Homo sapiens]	Protein
ribosomal protein L4 [Homo sapiens] interacts with eukaryotic translation elongation factor 1 gamma [Homo sapiens]	Helper_PPI (good experimental evidence)	ribosomal protein L4 [Homo sapiens]	Protein	eukaryotic translation elongation factor 1 gamma [Homo sapiens]	Protein
sphingosine kinase type 1-interacting protein [Homo sapiens] interacts with MAD, mothers against decapentaplegic homolog 3 [Homo sapiens]	Helper_PPI (good experimental evidence)	sphingosine kinase type 1-interacting protein [Homo sapiens]	Protein	MAD, mothers against decapentaplegic homolog 3 [Homo sapiens]	Protein
vav 3 oncogene [Homo sapiens] interacts with ras-related C3 botulinum toxin substrate 1 isoform Rac1 [Homo sapiens]	Helper_PPI (good experimental evidence)	vav 3 oncogene [Homo sapiens]	Protein	ras-related C3 botulinum toxin substrate 1 isoform Rac1 [Homo sapiens]	Protein
bone morphogenetic protein receptor, type IB [Homo sapiens] interacts with tetratricopeptide repeat domain 27 [Homo sapiens]	Helper_PPI (good experimental evidence)	bone morphogenetic protein receptor, type IB [Homo sapiens]	Protein	tetratricopeptide repeat domain 27 [Homo sapiens]	Protein
thrombomodulin precursor [Homo sapiens] interacts with serine (or cysteine) proteinase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 5 [Homo sapiens]	Helper_PPI (good experimental evidence)	thrombomodulin precursor [Homo sapiens]	Protein	serine (or cysteine) proteinase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 5 [Homo sapiens]	Protein
tripartite motif-containing 37 protein [Homo sapiens] interacts with TNF receptor-associated factor 6 [Homo sapiens]	Helper_PPI (good experimental evidence)	tripartite motif-containing 37 protein [Homo sapiens]	Protein	TNF receptor-associated factor 6 [Homo sapiens]	Protein
neuroblastoma, suppression of tumorigenicity 1 precursor [Homo sapiens] interacts with ubiquilin 1 isoform 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	neuroblastoma, suppression of tumorigenicity 1 precursor [Homo sapiens]	Protein	ubiquilin 1 isoform 1 [Homo sapiens]	Protein
dihydrofolate reductase [Homo sapiens] interacts with thrombospondin 1 precursor [Homo sapiens]	Helper_PPI (good experimental evidence)	dihydrofolate reductase [Homo sapiens]	Protein	thrombospondin 1 precursor [Homo sapiens]	Protein
thrombomodulin precursor [Homo sapiens] interacts with coagulation factor II precursor [Homo sapiens]	Helper_PPI (good experimental evidence)	thrombomodulin precursor [Homo sapiens]	Protein	coagulation factor II precursor [Homo sapiens]	Protein
tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, gamma polypeptide [Homo sapiens] interacts with v-raf murine sarcoma viral oncogene homolog B1 [Homo sapiens]	Helper_PPI (good experimental evidence)	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, gamma polypeptide [Homo sapiens]	Protein	v-raf murine sarcoma viral oncogene homolog B1 [Homo sapiens]	Protein
growth hormone 1 isoform 1 [Homo sapiens] interacts with mitogen-activated protein kinase 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	growth hormone 1 isoform 1 [Homo sapiens]	Protein	mitogen-activated protein kinase 1 [Homo sapiens]	Protein
protein phosphatase 4 (formerly X), catalytic subunit [Homo sapiens] interacts with HLA-B associated transcript-3 isoform a [Homo sapiens]	Helper_PPI (good experimental evidence)	protein phosphatase 4 (formerly X), catalytic subunit [Homo sapiens]	Protein	HLA-B associated transcript-3 isoform a [Homo sapiens]	Protein
catenin (cadherin-associated protein), beta 1, 88kDa [Homo sapiens] interacts with lymphoid enhancer binding factor-1 [Homo sapiens]	Helper_PPI (good experimental evidence)	catenin (cadherin-associated protein), beta 1, 88kDa [Homo sapiens]	Protein	lymphoid enhancer binding factor-1 [Homo sapiens]	Protein
karyopherin beta 1 [Homo sapiens] interacts with nucleoporin 98kD isoform 3 [Homo sapiens]	Helper_PPI (good experimental evidence)	karyopherin beta 1 [Homo sapiens]	Protein	nucleoporin 98kD isoform 3 [Homo sapiens]	Protein
zeta-chain associated protein kinase 70kDa isoform 1 [Homo sapiens] interacts with GRB2-associated binding protein 2 isoform b [Homo sapiens]	Helper_PPI (good experimental evidence)	zeta-chain associated protein kinase 70kDa isoform 1 [Homo sapiens]	Protein	GRB2-associated binding protein 2 isoform b [Homo sapiens]	Protein
growth factor receptor-bound protein 2 isoform 1 [Homo sapiens] interacts with small inducible cytokine A5 precursor [Homo sapiens]	Helper_PPI (good experimental evidence)	growth factor receptor-bound protein 2 isoform 1 [Homo sapiens]	Protein	small inducible cytokine A5 precursor [Homo sapiens]	Protein
fibrinogen, gamma chain isoform gamma-A precursor [Homo sapiens] interacts with vitronectin precursor [Homo sapiens]	Helper_PPI (good experimental evidence)	fibrinogen, gamma chain isoform gamma-A precursor [Homo sapiens]	Protein	vitronectin precursor [Homo sapiens]	Protein
Ras-like without CAAX 1 [Homo sapiens] interacts with ral guanine nucleotide dissociation stimulator [Homo sapiens]	Helper_PPI (Two-hybrid)	Ras-like without CAAX 1 [Homo sapiens]	Protein	ral guanine nucleotide dissociation stimulator [Homo sapiens]	Protein
karyopherin beta 1 [Homo sapiens] interacts with E3 ubiquitin protein ligase, HECT domain containing, 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	karyopherin beta 1 [Homo sapiens]	Protein	E3 ubiquitin protein ligase, HECT domain containing, 1 [Homo sapiens]	Protein
SMAD specific E3 ubiquitin protein ligase 2 [Homo sapiens] interacts with MAD, mothers against decapentaplegic homolog 7 [Homo sapiens]	Helper_PPI (good experimental evidence)	SMAD specific E3 ubiquitin protein ligase 2 [Homo sapiens]	Protein	MAD, mothers against decapentaplegic homolog 7 [Homo sapiens]	Protein
Lysosomal associated multispanning membrane protein 5 [Homo sapiens] interacts with epidermal growth factor receptor pathway substrate 15 [Homo sapiens]	Helper_PPI (Two-hybrid)	Lysosomal associated multispanning membrane protein 5 [Homo sapiens]	Protein	epidermal growth factor receptor pathway substrate 15 [Homo sapiens]	Protein
HLA-B associated transcript-3 isoform a [Homo sapiens] interacts with SET domain, bifurcated 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	HLA-B associated transcript-3 isoform a [Homo sapiens]	Protein	SET domain, bifurcated 1 [Homo sapiens]	Protein
tuberous sclerosis 2 isoform 1 [Homo sapiens] interacts with tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, gamma polypeptide [Homo sapiens]	Helper_PPI (good experimental evidence)	tuberous sclerosis 2 isoform 1 [Homo sapiens]	Protein	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, gamma polypeptide [Homo sapiens]	Protein
paxillin [Homo sapiens] interacts with v-crk sarcoma virus CT10 oncogene homolog isoform b [Homo sapiens]	Helper_PPI (good experimental evidence)	paxillin [Homo sapiens]	Protein	v-crk sarcoma virus CT10 oncogene homolog isoform b [Homo sapiens]	Protein
mitogen-activated protein kinase-activated protein kinase 2 isoform 2 [Homo sapiens] interacts with SET domain, bifurcated 1 [Homo sapiens]	Helper_PPI (Two-hybrid)	mitogen-activated protein kinase-activated protein kinase 2 isoform 2 [Homo sapiens]	Protein	SET domain, bifurcated 1 [Homo sapiens]	Protein
transforming growth factor, beta receptor III (betaglycan, 300kDa) [Homo sapiens] interacts with regulator of G-protein signalling 19 interacting protein 1 isoform 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	transforming growth factor, beta receptor III (betaglycan, 300kDa) [Homo sapiens]	Protein	regulator of G-protein signalling 19 interacting protein 1 isoform 1 [Homo sapiens]	Protein
karyopherin beta 1 [Homo sapiens] interacts with survival of motor neuron 1, telomeric isoform d [Homo sapiens]	Helper_PPI (good experimental evidence)	karyopherin beta 1 [Homo sapiens]	Protein	survival of motor neuron 1, telomeric isoform d [Homo sapiens]	Protein
chemokine (C-X-C motif) receptor 3 [Homo sapiens] interacts with small inducible cytokine B10 precursor [Homo sapiens]	Helper_PPI (good experimental evidence)	chemokine (C-X-C motif) receptor 3 [Homo sapiens]	Protein	small inducible cytokine B10 precursor [Homo sapiens]	Protein
ribosomal protein S11 [Homo sapiens] interacts with eukaryotic translation initiation factor 4E [Homo sapiens]	Helper_PPI (good experimental evidence)	ribosomal protein S11 [Homo sapiens]	Protein	eukaryotic translation initiation factor 4E [Homo sapiens]	Protein
Sma- and Mad-related protein 1 [Homo sapiens] interacts with transducer of ERBB2, 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	Sma- and Mad-related protein 1 [Homo sapiens]	Protein	transducer of ERBB2, 1 [Homo sapiens]	Protein
c-src tyrosine kinase [Homo sapiens] interacts with caveolin 1 [Homo sapiens]	Helper_PPI (Two-hybrid)	c-src tyrosine kinase [Homo sapiens]	Protein	caveolin 1 [Homo sapiens]	Protein
malignant T cell amplified sequence 1 [Homo sapiens] interacts with ubiquitin associated domain containing 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	malignant T cell amplified sequence 1 [Homo sapiens]	Protein	ubiquitin associated domain containing 1 [Homo sapiens]	Protein
IQ motif containing GTPase activating protein 2 [Homo sapiens] interacts with calmodulin 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	IQ motif containing GTPase activating protein 2 [Homo sapiens]	Protein	calmodulin 1 [Homo sapiens]	Protein
platelet-derived growth factor receptor beta precursor [Homo sapiens] interacts with phosphoinositide-3-kinase, regulatory subunit 3 (p55, gamma) [Homo sapiens]	Helper_PPI (good experimental evidence)	platelet-derived growth factor receptor beta precursor [Homo sapiens]	Protein	phosphoinositide-3-kinase, regulatory subunit 3 (p55, gamma) [Homo sapiens]	Protein
zeta-chain associated protein kinase 70kDa isoform 1 [Homo sapiens] interacts with SH3-domain binding protein 2 [Homo sapiens]	Helper_PPI (good experimental evidence)	zeta-chain associated protein kinase 70kDa isoform 1 [Homo sapiens]	Protein	SH3-domain binding protein 2 [Homo sapiens]	Protein
guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 1 [Homo sapiens] interacts with regulator of G-protein signalling 7 [Homo sapiens]	Helper_PPI (good experimental evidence)	guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 1 [Homo sapiens]	Protein	regulator of G-protein signalling 7 [Homo sapiens]	Protein
protein kinase C, alpha [Homo sapiens] interacts with tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, gamma polypeptide [Homo sapiens]	Helper_PPI (good experimental evidence)	protein kinase C, alpha [Homo sapiens]	Protein	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, gamma polypeptide [Homo sapiens]	Protein
ribosomal protein S16 [Homo sapiens] interacts with ribosomal protein S6 [Homo sapiens]	Helper_PPI (good experimental evidence)	ribosomal protein S16 [Homo sapiens]	Protein	ribosomal protein S6 [Homo sapiens]	Protein
activin A type I receptor precursor [Homo sapiens] interacts with Ras homolog enriched in brain like 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	activin A type I receptor precursor [Homo sapiens]	Protein	Ras homolog enriched in brain like 1 [Homo sapiens]	Protein
stress 70 protein chaperone, microsome-associated, 60kDa precursor [Homo sapiens] interacts with ubiquilin 2 [Homo sapiens]	Helper_PPI (good experimental evidence)	stress 70 protein chaperone, microsome-associated, 60kDa precursor [Homo sapiens]	Protein	ubiquilin 2 [Homo sapiens]	Protein
tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, beta polypeptide [Homo sapiens] interacts with DENN/MADD domain containing 4A [Homo sapiens]	Helper_PPI (good experimental evidence)	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, beta polypeptide [Homo sapiens]	Protein	DENN/MADD domain containing 4A [Homo sapiens]	Protein
ELK1 protein [Homo sapiens] interacts with mitogen-activated protein kinase 14 isoform 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	ELK1 protein [Homo sapiens]	Protein	mitogen-activated protein kinase 14 isoform 1 [Homo sapiens]	Protein
ribosomal protein S13 [Homo sapiens] interacts with eukaryotic translation initiation factor 4E [Homo sapiens]	Helper_PPI (good experimental evidence)	ribosomal protein S13 [Homo sapiens]	Protein	eukaryotic translation initiation factor 4E [Homo sapiens]	Protein
protein kinase D1 [Homo sapiens] interacts with centaurin, alpha 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	protein kinase D1 [Homo sapiens]	Protein	centaurin, alpha 1 [Homo sapiens]	Protein
POU domain, class 1, transcription factor 1 (Pit1, growth hormone factor 1) [Homo sapiens] interacts with v-jun avian sarcoma virus 17 oncogene homolog [Homo sapiens]	Helper_PPI (good experimental evidence)	POU domain, class 1, transcription factor 1 (Pit1, growth hormone factor 1) [Homo sapiens]	Protein	v-jun avian sarcoma virus 17 oncogene homolog [Homo sapiens]	Protein
erbB-2 isoform b [Homo sapiens] interacts with v-erb-a erythroblastic leukemia viral oncogene homolog 4 [Homo sapiens]	Helper_PPI (good experimental evidence)	erbB-2 isoform b [Homo sapiens]	Protein	v-erb-a erythroblastic leukemia viral oncogene homolog 4 [Homo sapiens]	Protein
mitogen-activated protein kinase 14 isoform 1 [Homo sapiens] interacts with glutathione transferase [Homo sapiens]	Helper_PPI (good experimental evidence)	mitogen-activated protein kinase 14 isoform 1 [Homo sapiens]	Protein	glutathione transferase [Homo sapiens]	Protein
vav 3 oncogene [Homo sapiens] interacts with ras homolog gene family, member A [Homo sapiens]	Helper_PPI (good experimental evidence)	vav 3 oncogene [Homo sapiens]	Protein	ras homolog gene family, member A [Homo sapiens]	Protein
vitamin D (1,25-dihydroxyvitamin D3) receptor [Homo sapiens] interacts with retinoid X receptor, gamma isoform b [Homo sapiens]	Helper_PPI (good experimental evidence)	vitamin D (1,25-dihydroxyvitamin D3) receptor [Homo sapiens]	Protein	retinoid X receptor, gamma isoform b [Homo sapiens]	Protein
protein phosphatase 1 glycogen-binding regulatory subunit 3 [Homo sapiens] interacts with phospholamban [Homo sapiens]	Helper_PPI (good experimental evidence)	protein phosphatase 1 glycogen-binding regulatory subunit 3 [Homo sapiens]	Protein	phospholamban [Homo sapiens]	Protein
histone deacetylase 4 [Homo sapiens] interacts with promyelocytic leukemia zinc finger protein [Homo sapiens]	Helper_PPI (good experimental evidence)	histone deacetylase 4 [Homo sapiens]	Protein	promyelocytic leukemia zinc finger protein [Homo sapiens]	Protein
fibroblast growth factor receptor 1 isoform 2 precursor [Homo sapiens] interacts with fibroblast growth factor 5 isoform 1 precursor [Homo sapiens]	Helper_PPI (good experimental evidence)	fibroblast growth factor receptor 1 isoform 2 precursor [Homo sapiens]	Protein	fibroblast growth factor 5 isoform 1 precursor [Homo sapiens]	Protein
secreted protein, acidic, cysteine-rich (osteonectin) [Homo sapiens] interacts with transglutaminase 2 isoform a [Homo sapiens]	Helper_PPI (good experimental evidence)	secreted protein, acidic, cysteine-rich (osteonectin) [Homo sapiens]	Protein	transglutaminase 2 isoform a [Homo sapiens]	Protein
SHC (Src homology 2 domain containing) transforming protein 1 isoform p52Shc [Homo sapiens] interacts with insulin-like growth factor 1 receptor precursor [Homo sapiens]	Helper_PPI (good experimental evidence)	SHC (Src homology 2 domain containing) transforming protein 1 isoform p52Shc [Homo sapiens]	Protein	insulin-like growth factor 1 receptor precursor [Homo sapiens]	Protein
SET and MYND domain containing 2 [Homo sapiens] interacts with CDC37 homolog [Homo sapiens]	Helper_PPI (good experimental evidence)	SET and MYND domain containing 2 [Homo sapiens]	Protein	CDC37 homolog [Homo sapiens]	Protein
tyrosine 3/tryptophan 5 -monooxygenase activation protein, theta polypeptide [Homo sapiens] interacts with c-myc promoter binding protein [Homo sapiens]	Helper_PPI (good experimental evidence)	tyrosine 3/tryptophan 5 -monooxygenase activation protein, theta polypeptide [Homo sapiens]	Protein	c-myc promoter binding protein [Homo sapiens]	Protein
cathepsin G preproprotein [Homo sapiens] interacts with platelet glycoprotein Ib alpha polypeptide precursor [Homo sapiens]	Helper_PPI (good experimental evidence)	cathepsin G preproprotein [Homo sapiens]	Protein	platelet glycoprotein Ib alpha polypeptide precursor [Homo sapiens]	Protein
p21-activated kinase 1 [Homo sapiens] interacts with heat shock 70kDa protein 9B precursor [Homo sapiens]	Helper_PPI (good experimental evidence)	p21-activated kinase 1 [Homo sapiens]	Protein	heat shock 70kDa protein 9B precursor [Homo sapiens]	Protein
heat shock 90kDa protein 1, beta [Homo sapiens] interacts with guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 2 [Homo sapiens]	Helper_PPI (good experimental evidence)	heat shock 90kDa protein 1, beta [Homo sapiens]	Protein	guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 2 [Homo sapiens]	Protein
eukaryotic translation initiation factor 4E [Homo sapiens] interacts with cleavage stimulation factor subunit 2 [Homo sapiens]	Helper_PPI (good experimental evidence)	eukaryotic translation initiation factor 4E [Homo sapiens]	Protein	cleavage stimulation factor subunit 2 [Homo sapiens]	Protein
seven in absentia homolog 2 [Homo sapiens] interacts with ubiquitin-conjugating enzyme E2I [Homo sapiens]	Helper_PPI (Two-hybrid)	seven in absentia homolog 2 [Homo sapiens]	Protein	ubiquitin-conjugating enzyme E2I [Homo sapiens]	Protein
interleukin 6 signal transducer isoform 1 precursor [Homo sapiens] interacts with janus kinase 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	interleukin 6 signal transducer isoform 1 precursor [Homo sapiens]	Protein	janus kinase 1 [Homo sapiens]	Protein
B-cell lymphoma 6 protein [Homo sapiens] interacts with eukaryotic translation initiation factor 4E nuclear import factor 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	B-cell lymphoma 6 protein [Homo sapiens]	Protein	eukaryotic translation initiation factor 4E nuclear import factor 1 [Homo sapiens]	Protein
pyruvate dehydrogenase kinase, isoenzyme 2 [Homo sapiens] interacts with v-akt murine thymoma viral oncogene homolog 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	pyruvate dehydrogenase kinase, isoenzyme 2 [Homo sapiens]	Protein	v-akt murine thymoma viral oncogene homolog 1 [Homo sapiens]	Protein
small inducible cytokine A2 precursor [Homo sapiens] interacts with chemokine (C-C motif) receptor 5 [Homo sapiens]	Helper_PPI (good experimental evidence)	small inducible cytokine A2 precursor [Homo sapiens]	Protein	chemokine (C-C motif) receptor 5 [Homo sapiens]	Protein
tumor necrosis factor receptor 1 precursor [Homo sapiens] interacts with heat shock 70kDa protein 9B precursor [Homo sapiens]	Helper_PPI (good experimental evidence)	tumor necrosis factor receptor 1 precursor [Homo sapiens]	Protein	heat shock 70kDa protein 9B precursor [Homo sapiens]	Protein
Rho guanine nucleotide exchange factor (GEF) 12 [Homo sapiens] interacts with plexin B1 [Homo sapiens]	Helper_PPI (good experimental evidence)	Rho guanine nucleotide exchange factor (GEF) 12 [Homo sapiens]	Protein	plexin B1 [Homo sapiens]	Protein
ribosomal protein S3 [Homo sapiens] interacts with eukaryotic translation initiation factor 4E [Homo sapiens]	Helper_PPI (good experimental evidence)	ribosomal protein S3 [Homo sapiens]	Protein	eukaryotic translation initiation factor 4E [Homo sapiens]	Protein
p21-activated kinase 1 [Homo sapiens] interacts with mitogen-activated protein kinase 14 isoform 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	p21-activated kinase 1 [Homo sapiens]	Protein	mitogen-activated protein kinase 14 isoform 1 [Homo sapiens]	Protein
bone morphogenetic protein receptor, type IB [Homo sapiens] interacts with bone morphogenetic protein 7 precursor [Homo sapiens]	Helper_PPI (good experimental evidence)	bone morphogenetic protein receptor, type IB [Homo sapiens]	Protein	bone morphogenetic protein 7 precursor [Homo sapiens]	Protein
nuclear cap binding protein subunit 1, 80kDa [Homo sapiens] interacts with eukaryotic translation initiation factor 4E [Homo sapiens]	Helper_PPI (good experimental evidence)	nuclear cap binding protein subunit 1, 80kDa [Homo sapiens]	Protein	eukaryotic translation initiation factor 4E [Homo sapiens]	Protein
adenosine A1 receptor [Homo sapiens] interacts with guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 2 [Homo sapiens]	Helper_PPI (good experimental evidence)	adenosine A1 receptor [Homo sapiens]	Protein	guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 2 [Homo sapiens]	Protein
nuclear receptor subfamily 3, group C, member 1 isoform alpha [Homo sapiens] interacts with receptor interacting protein 140 [Homo sapiens]	Helper_PPI (good experimental evidence)	nuclear receptor subfamily 3, group C, member 1 isoform alpha [Homo sapiens]	Protein	receptor interacting protein 140 [Homo sapiens]	Protein
myogenin [Homo sapiens] interacts with transcription factor 3 [Homo sapiens]	Helper_PPI (good experimental evidence)	myogenin [Homo sapiens]	Protein	transcription factor 3 [Homo sapiens]	Protein
TNF receptor-associated factor 6 [Homo sapiens] interacts with karyopherin beta 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	TNF receptor-associated factor 6 [Homo sapiens]	Protein	karyopherin beta 1 [Homo sapiens]	Protein
preimplantation protein 3 isoform 1 [Homo sapiens] interacts with calcium binding protein 39 [Homo sapiens]	Helper_PPI (good experimental evidence)	preimplantation protein 3 isoform 1 [Homo sapiens]	Protein	calcium binding protein 39 [Homo sapiens]	Protein
mitogen-activated protein kinase 7 isoform 1 [Homo sapiens] interacts with tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, beta polypeptide [Homo sapiens]	Helper_PPI (good experimental evidence)	mitogen-activated protein kinase 7 isoform 1 [Homo sapiens]	Protein	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, beta polypeptide [Homo sapiens]	Protein
ribosomal protein S15 [Homo sapiens] interacts with ribosomal protein S6 [Homo sapiens]	Helper_PPI (good experimental evidence)	ribosomal protein S15 [Homo sapiens]	Protein	ribosomal protein S6 [Homo sapiens]	Protein
kinase insert domain receptor (a type III receptor tyrosine kinase) [Homo sapiens] interacts with GTPase Rab14 [Homo sapiens]	Helper_PPI (good experimental evidence)	kinase insert domain receptor (a type III receptor tyrosine kinase) [Homo sapiens]	Protein	GTPase Rab14 [Homo sapiens]	Protein
tyrosine 3/tryptophan 5 -monooxygenase activation protein, epsilon polypeptide [Homo sapiens] interacts with sorbin and SH3 domain containing 2 isoform 1 [Homo sapiens]	Helper_PPI (Two-hybrid)	tyrosine 3/tryptophan 5 -monooxygenase activation protein, epsilon polypeptide [Homo sapiens]	Protein	sorbin and SH3 domain containing 2 isoform 1 [Homo sapiens]	Protein
activin A type I receptor precursor [Homo sapiens] interacts with ubiquitin B precursor [Homo sapiens]	Helper_PPI (good experimental evidence)	activin A type I receptor precursor [Homo sapiens]	Protein	ubiquitin B precursor [Homo sapiens]	Protein
ubiquilin 1 isoform 1 [Homo sapiens] interacts with EGF-containing fibulin-like extracellular matrix protein 2 [Homo sapiens]	Helper_PPI (Two-hybrid)	ubiquilin 1 isoform 1 [Homo sapiens]	Protein	EGF-containing fibulin-like extracellular matrix protein 2 [Homo sapiens]	Protein
synaptojanin 2 binding protein [Homo sapiens] interacts with activin A receptor, type IIA [Homo sapiens]	Helper_PPI (good experimental evidence)	synaptojanin 2 binding protein [Homo sapiens]	Protein	activin A receptor, type IIA [Homo sapiens]	Protein
ataxia telangiectasia and Rad3 related protein [Homo sapiens] interacts with Ras homolog enriched in brain [Homo sapiens]	Helper_PPI (good experimental evidence)	ataxia telangiectasia and Rad3 related protein [Homo sapiens]	Protein	Ras homolog enriched in brain [Homo sapiens]	Protein
tyrosine 3/tryptophan 5 -monooxygenase activation protein, theta polypeptide [Homo sapiens] interacts with SH3-domain binding protein 4 [Homo sapiens]	Helper_PPI (good experimental evidence)	tyrosine 3/tryptophan 5 -monooxygenase activation protein, theta polypeptide [Homo sapiens]	Protein	SH3-domain binding protein 4 [Homo sapiens]	Protein
MAP/microtubule affinity-regulating kinase 4 [Homo sapiens] interacts with tubulin, beta polypeptide [Homo sapiens]	Helper_PPI (good experimental evidence)	MAP/microtubule affinity-regulating kinase 4 [Homo sapiens]	Protein	tubulin, beta polypeptide [Homo sapiens]	Protein
cofactor required for Sp1 transcriptional activation, subunit 2, 150kDa [Homo sapiens] interacts with signal transducer and activator of transcription 2 [Homo sapiens]	Helper_PPI (good experimental evidence)	cofactor required for Sp1 transcriptional activation, subunit 2, 150kDa [Homo sapiens]	Protein	signal transducer and activator of transcription 2 [Homo sapiens]	Protein
ubiquilin 2 [Homo sapiens] interacts with insulin-like growth factor binding protein 6 [Homo sapiens]	Helper_PPI (Two-hybrid)	ubiquilin 2 [Homo sapiens]	Protein	insulin-like growth factor binding protein 6 [Homo sapiens]	Protein
Sma- and Mad-related protein 1 [Homo sapiens] interacts with START domain containing 13 isoform gamma [Homo sapiens]	Helper_PPI (Two-hybrid)	Sma- and Mad-related protein 1 [Homo sapiens]	Protein	START domain containing 13 isoform gamma [Homo sapiens]	Protein
activin A receptor, type IIA [Homo sapiens] interacts with bone morphogenetic protein 6 precursor [Homo sapiens]	Helper_PPI (good experimental evidence)	activin A receptor, type IIA [Homo sapiens]	Protein	bone morphogenetic protein 6 precursor [Homo sapiens]	Protein
growth factor independent 1B (potential regulator of CDKN1A, translocated in CML) [Homo sapiens] interacts with actinin, alpha 1 [Homo sapiens]	Helper_PPI (Two-hybrid)	growth factor independent 1B (potential regulator of CDKN1A, translocated in CML) [Homo sapiens]	Protein	actinin, alpha 1 [Homo sapiens]	Protein
transforming growth factor beta 1 induced transcript 1 [Homo sapiens] interacts with v-crk sarcoma virus CT10 oncogene homolog (avian)-like [Homo sapiens]	Helper_PPI (good experimental evidence)	transforming growth factor beta 1 induced transcript 1 [Homo sapiens]	Protein	v-crk sarcoma virus CT10 oncogene homolog (avian)-like [Homo sapiens]	Protein
