Relation.source	Relation.target
receptor-interacting serine-threonine kinase 3 [Homo sapiens]	ribosomal protein L23 [Homo sapiens]
CREB binding protein [Homo sapiens]	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase beta [Homo sapiens]
tumor necrosis factor receptor 1 precursor [Homo sapiens]	heat shock protein 90kDa alpha (cytosolic), class A member 1 isoform 1 [Homo sapiens]
myc proto-oncogene protein [Homo sapiens]	insulin receptor substrate 1 [Homo sapiens]
ubiquitin and ribosomal protein S27a precursor [Homo sapiens]	catenin (cadherin-associated protein), beta 1, 88kDa [Homo sapiens]
IKK-related kinase epsilon [Homo sapiens]	nuclear cap binding protein subunit 2, 20kDa [Homo sapiens]
heat shock 70kDa protein 8 isoform 1 [Homo sapiens]	heat shock protein 90kDa alpha (cytosolic), class A member 1 isoform 1 [Homo sapiens]
beta actin [Homo sapiens]	ribosomal protein S24 isoform c [Homo sapiens]
phosphoinositide-3-kinase, catalytic, gamma polypeptide [Homo sapiens]	v-akt murine thymoma viral oncogene homolog 1 [Homo sapiens]
v-akt murine thymoma viral oncogene homolog 1 [Homo sapiens]	protein kinase C, zeta isoform 2 [Homo sapiens]
promyelocytic leukemia zinc finger protein [Homo sapiens]	Sp1 transcription factor [Homo sapiens]
glycogen synthase kinase 3 beta [Homo sapiens]	ubiquitin and ribosomal protein L40 precursor [Homo sapiens]
nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, beta isoform b [Homo sapiens]	heat shock protein 90kDa alpha (cytosolic), class A member 1 isoform 1 [Homo sapiens]
IKK-related kinase epsilon [Homo sapiens]	heat shock 70kDa protein 1B [Homo sapiens]
eukaryotic translation initiation factor 2 beta [Homo sapiens]	promyelocytic leukemia zinc finger protein [Homo sapiens]
mitogen-activated protein kinase 1 [Homo sapiens]	histone deacetylase 4 [Homo sapiens]
integrin-linked kinase [Homo sapiens]	damage-specific DNA binding protein 1 [Homo sapiens]
TNFRSF1A-associated via death domain isoform 1 [Homo sapiens]	heat shock 70kDa protein 1B [Homo sapiens]
N-myc downstream regulated gene 1 [Homo sapiens]	cadherin 1, type 1 preproprotein [Homo sapiens]
cell division cycle 25A isoform a [Homo sapiens]	ubiquitin and ribosomal protein S27a precursor [Homo sapiens]
nuclear cap binding protein subunit 2, 20kDa [Homo sapiens]	U1 small nuclear ribonucleoprotein 70 kDa isoform b [Homo sapiens]
proteasome 26S non-ATPase subunit 11 [Homo sapiens]	promyelocytic leukemia zinc finger protein [Homo sapiens]
vav 1 oncogene [Homo sapiens]	Cas-Br-M (murine) ecotropic retroviral transforming sequence [Homo sapiens]
tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, gamma polypeptide [Homo sapiens]	U2 (RNU2) small nuclear RNA auxiliary factor 2 isoform b [Homo sapiens]
growth factor receptor-bound protein 2 isoform 1 [Homo sapiens]	ribosomal protein S9 [Homo sapiens]
mitogen-activated protein kinase kinase kinase 3 isoform 2 [Homo sapiens]	ribosomal protein S27 [Homo sapiens]
growth hormone 1 isoform 1 [Homo sapiens]	mitogen-activated protein kinase 1 [Homo sapiens]
ribosomal protein S6 [Homo sapiens]	eukaryotic translation initiation factor 3, subunit 12 [Homo sapiens]
TNF receptor-associated factor 6 [Homo sapiens]	protein kinase C, zeta isoform 2 [Homo sapiens]
growth factor receptor-bound protein 2 isoform 1 [Homo sapiens]	ribosomal protein S3 [Homo sapiens]
heat shock 90kDa protein 1, beta [Homo sapiens]	ribosomal protein S4, X-linked X isoform [Homo sapiens]
nuclear cap binding protein subunit 2, 20kDa [Homo sapiens]	polypyrimidine tract-binding protein 1 isoform a [Homo sapiens]
paxillin [Homo sapiens]	v-crk sarcoma virus CT10 oncogene homolog isoform b [Homo sapiens]
tyrosine 3/tryptophan 5 -monooxygenase activation protein, zeta polypeptide [Homo sapiens]	splicing factor 3b, subunit 1 isoform 2 [Homo sapiens]
Cas-Br-M (murine) ecotropic retroviral transforming sequence [Homo sapiens]	tyrosine 3/tryptophan 5 -monooxygenase activation protein, zeta polypeptide [Homo sapiens]
insulin-like growth factor 1 receptor precursor [Homo sapiens]	insulin-like growth factor 1 (somatomedin C) [Homo sapiens]
nuclear cap binding protein subunit 2, 20kDa [Homo sapiens]	RNA-binding protein S1, serine-rich domain [Homo sapiens]
tyrosine 3/tryptophan 5 -monooxygenase activation protein, zeta polypeptide [Homo sapiens]	disrupted in schizophrenia 1 isoform Lv [Homo sapiens]
heat shock protein 90kDa alpha (cytosolic), class A member 1 isoform 1 [Homo sapiens]	hypoxia-inducible factor 1, alpha subunit isoform 1 [Homo sapiens]
TNF receptor-associated factor 2 [Homo sapiens]	heat shock 70kDa protein 1B [Homo sapiens]
phosphoinositide-3-kinase, regulatory subunit, polypeptide 1 isoform 2 [Homo sapiens]	v-crk sarcoma virus CT10 oncogene homolog (avian)-like [Homo sapiens]
FtsJ homolog 1 isoform a [Homo sapiens]	ribosomal protein L26 [Homo sapiens]
phosphatidylethanolamine binding protein 1 [Homo sapiens]	v-raf-1 murine leukemia viral oncogene homolog 1 [Homo sapiens]
ribosomal protein S6 [Homo sapiens]	ribosomal protein L5 [Homo sapiens]
Cas-Br-M (murine) ecotropic retroviral transforming sequence [Homo sapiens]	paxillin [Homo sapiens]
conserved helix-loop-helix ubiquitous kinase [Homo sapiens]	clathrin heavy chain 1 [Homo sapiens]
hypothetical protein FLJ20425 [Homo sapiens]	promyelocytic leukemia zinc finger protein [Homo sapiens]
inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase complex-associated protein [Homo sapiens]	mitogen-activated protein kinase kinase kinase 14 [Homo sapiens]
nuclear receptor subfamily 4, group A, member 1 isoform a [Homo sapiens]	B-cell lymphoma protein 2 alpha isoform [Homo sapiens]
reticuloendotheliosis viral oncogene homolog B [Homo sapiens]	conserved helix-loop-helix ubiquitous kinase [Homo sapiens]
ribosomal protein S16 [Homo sapiens]	ribosomal protein S6 [Homo sapiens]
myc proto-oncogene protein [Homo sapiens]	histone deacetylase 2 [Homo sapiens]
v-akt murine thymoma viral oncogene homolog 1 [Homo sapiens]	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase beta [Homo sapiens]
ribosomal protein S6 [Homo sapiens]	60S ribosomal protein L7a [Homo sapiens]
ribosomal protein S6 [Homo sapiens]	ribosomal protein P1 isoform 1 [Homo sapiens]
tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, gamma polypeptide [Homo sapiens]	N-myc downstream regulated gene 1 [Homo sapiens]
nuclear cap binding protein subunit 2, 20kDa [Homo sapiens]	serine/arginine repetitive matrix 1 [Homo sapiens]
nuclear cap binding protein subunit 2, 20kDa [Homo sapiens]	fusion (involved in t(12;16) in malignant liposarcoma) isoform b [Homo sapiens]
mitogen-activated protein kinase kinase kinase 7 isoform A [Homo sapiens]	p21-activated kinase 1 [Homo sapiens]
integrin beta 4 binding protein isoform a [Homo sapiens]	ribosomal protein L3 isoform a [Homo sapiens]
promyelocytic leukemia zinc finger protein [Homo sapiens]	promyelocytic leukemia protein isoform 6 [Homo sapiens]
ribosomal protein S14 [Homo sapiens]	ribosomal protein S6 [Homo sapiens]
conserved helix-loop-helix ubiquitous kinase [Homo sapiens]	mitogen-activated protein kinase kinase kinase 14 [Homo sapiens]
translation factor sui1 homolog [Homo sapiens]	ribosomal protein L36 [Homo sapiens]
histone deacetylase 4 [Homo sapiens]	promyelocytic leukemia zinc finger protein [Homo sapiens]
microRNA 133b [Homo sapiens]	polypyrimidine tract-binding protein 1 isoform a [Homo sapiens]
fused toes homolog [Homo sapiens]	3-phosphoinositide dependent protein kinase-1 isoform 1 [Homo sapiens]
epidermal growth factor receptor isoform a [Homo sapiens]	transcriptional intermediary factor 1 alpha isoform b [Homo sapiens]
mitogen-activated protein kinase 1 [Homo sapiens]	alpha-synuclein isoform NACP140 [Homo sapiens]
SHC (Src homology 2 domain containing) transforming protein 1 isoform p52Shc [Homo sapiens]	insulin-like growth factor 1 receptor precursor [Homo sapiens]
epidermal growth factor receptor isoform a [Homo sapiens]	p21-activated kinase 1 [Homo sapiens]
mitogen-activated protein kinase kinase kinase 3 isoform 2 [Homo sapiens]	ribosomal protein L23 [Homo sapiens]
TANK-binding kinase 1 [Homo sapiens]	ribosomal protein S8 [Homo sapiens]
ribosomal protein S6 [Homo sapiens]	ribosomal protein L27 [Homo sapiens]
TNF receptor-associated factor 2 [Homo sapiens]	mitogen-activated protein kinase kinase kinase 14 [Homo sapiens]
nov precursor [Homo sapiens]	DNA directed RNA polymerase II polypeptide L [Homo sapiens]
mitogen-activated protein kinase kinase kinase 3 isoform 2 [Homo sapiens]	ribosomal protein S16 [Homo sapiens]
reticuloendotheliosis viral oncogene homolog B [Homo sapiens]	phosphoinositide-3-kinase, catalytic, gamma polypeptide [Homo sapiens]
TNF receptor-associated factor 6 [Homo sapiens]	cytochrome c [Homo sapiens]
major histocompatibility complex, class I, B [Homo sapiens]	calmodulin 1 [Homo sapiens]
ribosomal protein S6 [Homo sapiens]	ubiquitin and ribosomal protein L40 precursor [Homo sapiens]
splicing factor 3b, subunit 1 isoform 2 [Homo sapiens]	poly(A) binding protein, cytoplasmic 1 [Homo sapiens]
p21-activated kinase 1 [Homo sapiens]	nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100) [Homo sapiens]
mitogen-activated protein kinase kinase kinase 14 [Homo sapiens]	ribosomal protein S6 [Homo sapiens]
vav 1 oncogene [Homo sapiens]	phosphoinositide-3-kinase, regulatory subunit, polypeptide 1 isoform 2 [Homo sapiens]
RAS p21 protein activator 1 isoform 1 [Homo sapiens]	insulin-like growth factor 1 receptor precursor [Homo sapiens]
poly(A) binding protein, cytoplasmic 1 [Homo sapiens]	heterogeneous nuclear ribonucleoprotein L isoform b [Homo sapiens]
inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase beta [Homo sapiens]	clathrin heavy chain 1 [Homo sapiens]
stress-induced-phosphoprotein 1 (Hsp70/Hsp90-organizing protein) [Homo sapiens]	heat shock protein 90kDa alpha (cytosolic), class A member 1 isoform 1 [Homo sapiens]
N-myc downstream regulated gene 1 [Homo sapiens]	catenin (cadherin-associated protein), beta 1, 88kDa [Homo sapiens]
p21-activated kinase 1 [Homo sapiens]	v-raf-1 murine leukemia viral oncogene homolog 1 [Homo sapiens]
mitogen-activated protein kinase kinase kinase 1 [Homo sapiens]	calmodulin 1 [Homo sapiens]
cell division cycle 2 protein isoform 1 [Homo sapiens]	promyelocytic leukemia zinc finger protein [Homo sapiens]
dihydrolipoamide S-succinyltransferase (E2 component of 2-oxo-glutarate complex) [Homo sapiens]	promyelocytic leukemia zinc finger protein [Homo sapiens]
glycogen synthase kinase 3 beta [Homo sapiens]	adenomatosis polyposis coli [Homo sapiens]
nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100) [Homo sapiens]	ribosomal protein S18 [Homo sapiens]
beta actin [Homo sapiens]	40S ribosomal protein S3a [Homo sapiens]
tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, gamma polypeptide [Homo sapiens]	splicing factor p54 [Homo sapiens]
heterogeneous nuclear ribonucleoprotein L isoform b [Homo sapiens]	poly(A) binding protein, cytoplasmic 1 [Homo sapiens]
integrin-linked kinase [Homo sapiens]	LIM and senescent cell antigen-like domains 1 [Homo sapiens]
ribosomal protein S6 [Homo sapiens]	eukaryotic translation initiation factor 3, subunit 6 48kDa [Homo sapiens]
heterogeneous nuclear ribonucleoprotein K isoform a [Homo sapiens]	nuclear cap binding protein subunit 2, 20kDa [Homo sapiens]
growth factor receptor-bound protein 2 isoform 1 [Homo sapiens]	ribosomal protein L10 [Homo sapiens]
epidermal growth factor receptor isoform a [Homo sapiens]	ubiquitin and ribosomal protein L40 precursor [Homo sapiens]
ribosomal protein P1 isoform 1 [Homo sapiens]	ATP-dependent DNA helicase II, 70 kDa subunit [Homo sapiens]
mitogen-activated protein kinase kinase 2 [Homo sapiens]	v-raf-1 murine leukemia viral oncogene homolog 1 [Homo sapiens]
mitogen-activated protein kinase 1 [Homo sapiens]	v-jun avian sarcoma virus 17 oncogene homolog [Homo sapiens]
hypothetical protein FLJ20425 [Homo sapiens]	promyelocytic leukemia zinc finger protein [Homo sapiens]
nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100) [Homo sapiens]	40S ribosomal protein S3a [Homo sapiens]
proteasome 26S non-ATPase subunit 11 [Homo sapiens]	transcriptional intermediary factor 1 alpha isoform b [Homo sapiens]
B-cell CLL/lymphoma 3 [Homo sapiens]	heat shock 70kDa protein 1B [Homo sapiens]
v-rel reticuloendotheliosis viral oncogene homolog A, nuclear factor of kappa light polypeptide gene enhancer in B-cells 3, p65 [Homo sapiens]	ribosomal protein S13 [Homo sapiens]
TANK-binding kinase 1 [Homo sapiens]	ribosomal protein L7 [Homo sapiens]
ribosomal protein S6 [Homo sapiens]	ribosomal protein L36 [Homo sapiens]
activating signal cointegrator 1 complex subunit 2 [Homo sapiens]	ribosomal protein P1 isoform 1 [Homo sapiens]
mitogen-activated protein kinase 1 [Homo sapiens]	mitogen-activated protein kinase-activated protein kinase 2 isoform 2 [Homo sapiens]
v-raf-1 murine leukemia viral oncogene homolog 1 [Homo sapiens]	myc proto-oncogene protein [Homo sapiens]
prostatic binding protein [Homo sapiens]	v-raf-1 murine leukemia viral oncogene homolog 1 [Homo sapiens]
ubiquilin 2 [Homo sapiens]	insulin-like growth factor binding protein 6 [Homo sapiens]
phosphoinositide-3-kinase, regulatory subunit, polypeptide 1 isoform 2 [Homo sapiens]	v-akt murine thymoma viral oncogene homolog 1 [Homo sapiens]
mitogen-activated protein kinase 1 [Homo sapiens]	hypoxia-inducible factor 1, alpha subunit isoform 1 [Homo sapiens]
growth factor receptor-bound protein 2 isoform 1 [Homo sapiens]	ribosomal protein S18 [Homo sapiens]
nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100) [Homo sapiens]	ribosomal protein L7 [Homo sapiens]
tyrosine 3/tryptophan 5 -monooxygenase activation protein, epsilon polypeptide [Homo sapiens]	histone deacetylase 4 [Homo sapiens]
v-rel reticuloendotheliosis viral oncogene homolog A, nuclear factor of kappa light polypeptide gene enhancer in B-cells 3, p65 [Homo sapiens]	ribosomal protein S14 [Homo sapiens]
growth factor receptor-bound protein 2 isoform 1 [Homo sapiens]	ribosomal protein S15a [Homo sapiens]
growth factor receptor-bound protein 2 isoform 1 [Homo sapiens]	ribosomal protein S20 [Homo sapiens]
nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100) [Homo sapiens]	poly(A) binding protein, cytoplasmic 1 [Homo sapiens]
receptor-interacting serine-threonine kinase 2 [Homo sapiens]	ribosomal protein L38 [Homo sapiens]
paxillin [Homo sapiens]	RAS p21 protein activator 1 isoform 1 [Homo sapiens]
ribosomal protein S6 [Homo sapiens]	ribosomal protein L23a [Homo sapiens]
stress-induced-phosphoprotein 1 (Hsp70/Hsp90-organizing protein) [Homo sapiens]	heat shock 70kDa protein 1B [Homo sapiens]
mitogen-activated protein kinase 1 [Homo sapiens]	phosphatidylethanolamine binding protein 1 [Homo sapiens]
tyrosine 3/tryptophan 5 -monooxygenase activation protein, eta polypeptide [Homo sapiens]	v-raf-1 murine leukemia viral oncogene homolog 1 [Homo sapiens]
receptor (TNFRSF)-interacting serine-threonine kinase 1 [Homo sapiens]	heat shock 70kDa protein 1B [Homo sapiens]
MAD, mothers against decapentaplegic homolog 4 [Homo sapiens]	ubiquitin and ribosomal protein L40 precursor [Homo sapiens]
protein tyrosine phosphatase, non-receptor type 11 [Homo sapiens]	signal transducer and activator of transcription 5A [Homo sapiens]
TNF receptor-associated factor 2 [Homo sapiens]	p21-activated kinase 1 [Homo sapiens]
myc proto-oncogene protein [Homo sapiens]	ATP-dependent DNA helicase II, 70 kDa subunit [Homo sapiens]
ribosomal protein S6 kinase, 70kDa, polypeptide 1 [Homo sapiens]	TNF receptor-associated factor 4 isoform 1 [Homo sapiens]
tyrosine 3/tryptophan 5 -monooxygenase activation protein, zeta polypeptide [Homo sapiens]	cell division cycle 25A isoform a [Homo sapiens]
adenomatosis polyposis coli [Homo sapiens]	glycogen synthase kinase 3 beta [Homo sapiens]
PIN2-interacting protein 1 [Homo sapiens]	ribosomal protein L36 [Homo sapiens]
TNF receptor-associated factor 1 [Homo sapiens]	heat shock 70kDa protein 1B [Homo sapiens]
heat shock 90kDa protein 1, beta [Homo sapiens]	hypothetical protein LOC388524 [Homo sapiens]
beta actin [Homo sapiens]	ribosomal protein L18 [Homo sapiens]
mitogen-activated protein kinase kinase 4 [Homo sapiens]	mitogen-activated protein kinase 14 isoform 1 [Homo sapiens]
nuclear cap binding protein subunit 2, 20kDa [Homo sapiens]	splicing factor 3a, subunit 1, 120kDa isoform 2 [Homo sapiens]
nuclear cap binding protein subunit 2, 20kDa [Homo sapiens]	arginine/serine-rich splicing factor 6 [Homo sapiens]
nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100) [Homo sapiens]	ribosomal protein S24 isoform c [Homo sapiens]
ribosomal protein S11 [Homo sapiens]	ribosomal protein S6 [Homo sapiens]
TNF receptor-associated factor 6 [Homo sapiens]	ribosomal protein L36 [Homo sapiens]
mutated in colorectal cancers [Homo sapiens]	cytochrome c [Homo sapiens]
inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase gamma [Homo sapiens]	heat shock 70kDa protein 1B [Homo sapiens]
IKK-related kinase epsilon [Homo sapiens]	heat shock protein 90kDa alpha (cytosolic), class A member 1 isoform 1 [Homo sapiens]
growth factor receptor-bound protein 2 isoform 1 [Homo sapiens]	ribosomal protein L21 [Homo sapiens]
guanine nucleotide binding protein (G protein), beta polypeptide 2-like 1 [Homo sapiens]	midkine [Homo sapiens]
mitogen-activated protein kinase 1 [Homo sapiens]	heat shock protein 90kDa alpha (cytosolic), class A member 1 [Homo sapiens]
interleukin-1 receptor-associated kinase 1 isoform 2 [Homo sapiens]	mitogen-activated protein kinase kinase kinase 1 [Homo sapiens]
heat shock 90kDa protein 1, beta [Homo sapiens]	eukaryotic translation initiation factor 3, subunit 3 gamma, 40kDa [Homo sapiens]
conserved helix-loop-helix ubiquitous kinase [Homo sapiens]	tubulin, beta 4 [Homo sapiens]
ribosomal protein S28 [Homo sapiens]	keratin associated protein 4-12 [Homo sapiens]
immunoglobulin superfamily, member 1 isoform 1 [Homo sapiens]	insulin-like growth factor 1 (somatomedin C) [Homo sapiens]
AMP-activated protein kinase beta 1 non-catalytic subunit [Homo sapiens]	CDC37 homolog [Homo sapiens]
ribosomal protein S20 [Homo sapiens]	ribosomal protein S6 [Homo sapiens]
ubiquitin B precursor [Homo sapiens]	glycogen synthase kinase 3 beta [Homo sapiens]
insulin receptor [Homo sapiens]	insulin-like growth factor 1 receptor precursor [Homo sapiens]
tyrosine 3/tryptophan 5 -monooxygenase activation protein, zeta polypeptide [Homo sapiens]	protein kinase C, alpha [Homo sapiens]
tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, beta polypeptide [Homo sapiens]	insulin-like growth factor 1 receptor precursor [Homo sapiens]
guanine nucleotide binding protein (G protein), beta polypeptide 2-like 1 [Homo sapiens]	midkine [Homo sapiens]
mitogen-activated protein kinase kinase kinase 7 interacting protein 2 [Homo sapiens]	heat shock 70kDa protein 1B [Homo sapiens]
IKK-related kinase epsilon [Homo sapiens]	ribosomal protein S11 [Homo sapiens]
ubiquitin B precursor [Homo sapiens]	ubiquitin and ribosomal protein L40 precursor [Homo sapiens]
p21-activated kinase 1 [Homo sapiens]	hepatocyte growth factor-regulated tyrosine kinase substrate [Homo sapiens]
guanine nucleotide binding protein (G protein), beta polypeptide 2-like 1 [Homo sapiens]	insulin-like growth factor 1 receptor precursor [Homo sapiens]
growth hormone 1 isoform 1 [Homo sapiens]	cytochrome c [Homo sapiens]
heat shock 90kDa protein 1, beta [Homo sapiens]	exportin 1 [Homo sapiens]
TNF receptor-associated factor 2 [Homo sapiens]	FK506 binding protein 12-rapamycin associated protein 1 [Homo sapiens]
Sp1 transcription factor [Homo sapiens]	heat shock 70kDa protein 8 isoform 1 [Homo sapiens]
inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase gamma [Homo sapiens]	ribosomal protein S15a [Homo sapiens]
interleukin 2 receptor beta precursor [Homo sapiens]	eukaryotic translation initiation factor 3, subunit 9 eta, 116kDa [Homo sapiens]
glycogen synthase kinase 3 beta [Homo sapiens]	cullin 1 [Homo sapiens]
IKK-related kinase epsilon [Homo sapiens]	ribosomal protein L3 isoform a [Homo sapiens]
mitogen-activated protein kinase kinase kinase 14 [Homo sapiens]	heat shock 70kDa protein 8 isoform 1 [Homo sapiens]
tyrosine 3/tryptophan 5 -monooxygenase activation protein, theta polypeptide [Homo sapiens]	phosphoinositide-3-kinase, catalytic, gamma polypeptide [Homo sapiens]
TNFRSF1A-associated via death domain isoform 1 [Homo sapiens]	ribosomal protein S16 [Homo sapiens]
cytochrome c [Homo sapiens]	alpha-synuclein isoform NACP140 [Homo sapiens]
erythrocyte membrane protein band 4.1 (elliptocytosis 1, RH-linked) isoform 3 [Homo sapiens]	cytochrome c [Homo sapiens]
protein kinase C, zeta isoform 2 [Homo sapiens]	TNF receptor-associated factor 6 [Homo sapiens]
tyrosine 3/tryptophan 5 -monooxygenase activation protein, zeta polypeptide [Homo sapiens]	RNA-binding protein S1, serine-rich domain [Homo sapiens]
tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, beta polypeptide [Homo sapiens]	alpha-synuclein isoform NACP140 [Homo sapiens]
mitogen-activated protein kinase kinase kinase 7 isoform A [Homo sapiens]	mitogen-activated protein kinase kinase kinase 14 [Homo sapiens]
protein kinase C, epsilon [Homo sapiens]	v-raf-1 murine leukemia viral oncogene homolog 1 [Homo sapiens]
conserved helix-loop-helix ubiquitous kinase [Homo sapiens]	v-akt murine thymoma viral oncogene homolog 1 [Homo sapiens]
ribosomal protein S6 [Homo sapiens]	ribosomal protein P2 [Homo sapiens]
mitogen-activated protein kinase kinase kinase 14 [Homo sapiens]	TNF receptor-associated factor 1 [Homo sapiens]
catenin (cadherin-associated protein), beta 1, 88kDa [Homo sapiens]	ubiquitin and ribosomal protein S27a precursor [Homo sapiens]
mitogen-activated protein kinase kinase kinase 7 isoform A [Homo sapiens]	heat shock protein 90kDa alpha (cytosolic), class A member 1 isoform 1 [Homo sapiens]
ribosomal protein S15a [Homo sapiens]	ribosomal protein S6 [Homo sapiens]
nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, beta isoform b [Homo sapiens]	heat shock 70kDa protein 1B [Homo sapiens]
v-rel reticuloendotheliosis viral oncogene homolog A, nuclear factor of kappa light polypeptide gene enhancer in B-cells 3, p65 [Homo sapiens]	Sp1 transcription factor [Homo sapiens]
phosphoinositide-3-kinase, regulatory subunit, polypeptide 1 isoform 2 [Homo sapiens]	catenin (cadherin-associated protein), beta 1, 88kDa [Homo sapiens]
activin A type I receptor precursor [Homo sapiens]	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase beta [Homo sapiens]
guanylate binding protein 4 [Homo sapiens]	ribosomal protein S6 [Homo sapiens]
von Hippel-Lindau tumor suppressor isoform 1 [Homo sapiens]	cytochrome c [Homo sapiens]
nuclear cap binding protein subunit 2, 20kDa [Homo sapiens]	splicing factor p54 [Homo sapiens]
tyrosine 3/tryptophan 5 -monooxygenase activation protein, zeta polypeptide [Homo sapiens]	histone deacetylase 4 [Homo sapiens]
IKK-related kinase epsilon [Homo sapiens]	ribosomal protein S14 [Homo sapiens]
tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, gamma polypeptide [Homo sapiens]	histone deacetylase 4 [Homo sapiens]
heat shock protein 90kDa alpha (cytosolic), class A member 1 [Homo sapiens]	myc proto-oncogene protein [Homo sapiens]
B-cell lymphoma protein 2 alpha isoform [Homo sapiens]	BCL2-like 11 isoform 6 [Homo sapiens]
nuclear cap binding protein subunit 2, 20kDa [Homo sapiens]	coiled-coil domain containing 85B [Homo sapiens]
growth factor receptor-bound protein 2 isoform 1 [Homo sapiens]	ribosomal protein S5 [Homo sapiens]
growth factor receptor-bound protein 2 isoform 1 [Homo sapiens]	transcriptional intermediary factor 1 alpha isoform b [Homo sapiens]
receptor-interacting serine-threonine kinase 2 [Homo sapiens]	heat shock protein 90kDa alpha (cytosolic), class A member 1 isoform 1 [Homo sapiens]
CDC37 homolog [Homo sapiens]	v-akt murine thymoma viral oncogene homolog 1 [Homo sapiens]
p21-activated kinase 1 [Homo sapiens]	mitogen-activated protein kinase kinase kinase 5 [Homo sapiens]
v-rel reticuloendotheliosis viral oncogene homolog A, nuclear factor of kappa light polypeptide gene enhancer in B-cells 3, p65 [Homo sapiens]	poly(A) binding protein, cytoplasmic 1 [Homo sapiens]
receptor (TNFRSF)-interacting serine-threonine kinase 1 [Homo sapiens]	mitogen-activated protein kinase kinase kinase 14 [Homo sapiens]
growth factor receptor-bound protein 2 isoform 1 [Homo sapiens]	ribosomal protein P2 [Homo sapiens]
glycogen synthase kinase 3 beta [Homo sapiens]	S-phase kinase-associated protein 1A isoform a [Homo sapiens]
v-rel reticuloendotheliosis viral oncogene homolog A, nuclear factor of kappa light polypeptide gene enhancer in B-cells 3, p65 [Homo sapiens]	ribosomal protein S3 [Homo sapiens]
heat shock transcription factor 1 [Homo sapiens]	mitogen-activated protein kinase-activated protein kinase 2 isoform 2 [Homo sapiens]
ubiquitin and ribosomal protein L40 precursor [Homo sapiens]	catenin (cadherin-associated protein), beta 1, 88kDa [Homo sapiens]
TNF receptor-associated factor 1 [Homo sapiens]	ribosomal protein S3 [Homo sapiens]
insulin-like growth factor 1 receptor precursor [Homo sapiens]	v-crk sarcoma virus CT10 oncogene homolog isoform b [Homo sapiens]
IKK-related kinase epsilon [Homo sapiens]	ribosomal protein S19 [Homo sapiens]
solute carrier family 25, member A6 [Homo sapiens]	guanine nucleotide binding protein (G protein), beta polypeptide 2-like 1 [Homo sapiens]
ribosomal protein S6 [Homo sapiens]	N-myc downstream regulated gene 1 [Homo sapiens]
mitogen-activated protein kinase 1 [Homo sapiens]	myc proto-oncogene protein [Homo sapiens]
ribosomal protein S6 [Homo sapiens]	ribosomal protein L13 [Homo sapiens]
mitogen-activated protein kinase-activated protein kinase 2 isoform 2 [Homo sapiens]	v-akt murine thymoma viral oncogene homolog 1 [Homo sapiens]
AMP-activated protein kinase beta 1 non-catalytic subunit [Homo sapiens]	ribosomal protein L36 [Homo sapiens]
3-phosphoinositide dependent protein kinase-1 isoform 1 [Homo sapiens]	fused toes homolog [Homo sapiens]
mitogen-activated protein kinase kinase 2 [Homo sapiens]	mitogen-activated protein kinase 1 [Homo sapiens]
tyrosine 3/tryptophan 5 -monooxygenase activation protein, zeta polypeptide [Homo sapiens]	v-akt murine thymoma viral oncogene homolog 1 [Homo sapiens]
beta actin [Homo sapiens]	eukaryotic translation initiation factor 3, subunit 6 48kDa [Homo sapiens]
heat shock 70kDa protein 1B [Homo sapiens]	ribosomal protein S6 [Homo sapiens]
growth factor receptor-bound protein 2 isoform 1 [Homo sapiens]	ribosomal protein S16 [Homo sapiens]
CREB binding protein [Homo sapiens]	v-jun avian sarcoma virus 17 oncogene homolog [Homo sapiens]
myogenic differentiation 1 [Homo sapiens]	v-jun avian sarcoma virus 17 oncogene homolog [Homo sapiens]
disrupted in schizophrenia 1 isoform Lv [Homo sapiens]	eukaryotic translation initiation factor 3, subunit 3 gamma, 40kDa [Homo sapiens]
IKK-related kinase epsilon [Homo sapiens]	eukaryotic translation termination factor 1 [Homo sapiens]
cadherin 1, type 1 preproprotein [Homo sapiens]	heat shock protein 90kDa alpha (cytosolic), class A member 1 isoform 1 [Homo sapiens]
