Object	Object type	Relation source	Relation source type	Relation target	Relation target type
microRNA 133a-1 [Homo sapiens] inhibits polypyrimidine tract-binding protein 1 isoform a [Homo sapiens]	inhibition	microRNA 133a-1 [Homo sapiens]	Protein	polypyrimidine tract-binding protein 1 isoform a [Homo sapiens]	Protein
integrin beta 1 isoform 1A precursor [Homo sapiens] interacts with PTK2 protein tyrosine kinase 2 isoform b [Homo sapiens]	Helper_PPI (good experimental evidence)	integrin beta 1 isoform 1A precursor [Homo sapiens]	Protein	PTK2 protein tyrosine kinase 2 isoform b [Homo sapiens]	Protein
inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase gamma [Homo sapiens] interacts with ribosomal protein S3 [Homo sapiens]	Helper_PPI (good experimental evidence)	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase gamma [Homo sapiens]	Protein	ribosomal protein S3 [Homo sapiens]	Protein
nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100) [Homo sapiens] interacts with ribosomal protein L18 [Homo sapiens]	Helper_PPI (good experimental evidence)	nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100) [Homo sapiens]	Protein	ribosomal protein L18 [Homo sapiens]	Protein
ribosomal protein S6 [Homo sapiens] interacts with eukaryotic translation initiation factor 4 gamma, 1 isoform 4 [Homo sapiens]	Helper_PPI (good experimental evidence)	ribosomal protein S6 [Homo sapiens]	Protein	eukaryotic translation initiation factor 4 gamma, 1 isoform 4 [Homo sapiens]	Protein
nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100) [Homo sapiens] interacts with 60S ribosomal protein L7a [Homo sapiens]	Helper_PPI (good experimental evidence)	nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100) [Homo sapiens]	Protein	60S ribosomal protein L7a [Homo sapiens]	Protein
tumor necrosis factor receptor 2 precursor [Homo sapiens] interacts with insulin receptor substrate 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	tumor necrosis factor receptor 2 precursor [Homo sapiens]	Protein	insulin receptor substrate 1 [Homo sapiens]	Protein
ribosomal protein S6 [Homo sapiens] interacts with ribosomal protein L35a [Homo sapiens]	Helper_PPI (good experimental evidence)	ribosomal protein S6 [Homo sapiens]	Protein	ribosomal protein L35a [Homo sapiens]	Protein
Sp1 transcription factor [Homo sapiens] interacts with SHC (Src homology 2 domain containing) transforming protein 1 isoform p52Shc [Homo sapiens]	Helper_PPI (good experimental evidence)	Sp1 transcription factor [Homo sapiens]	Protein	SHC (Src homology 2 domain containing) transforming protein 1 isoform p52Shc [Homo sapiens]	Protein
proteasome 26S non-ATPase subunit 11 [Homo sapiens] interacts with promyelocytic leukemia zinc finger protein [Homo sapiens]	Helper_PPI (good experimental evidence)	proteasome 26S non-ATPase subunit 11 [Homo sapiens]	Protein	promyelocytic leukemia zinc finger protein [Homo sapiens]	Protein
TRAF2 and NCK interacting kinase [Homo sapiens] interacts with mitogen-activated protein kinase 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	TRAF2 and NCK interacting kinase [Homo sapiens]	Protein	mitogen-activated protein kinase 1 [Homo sapiens]	Protein
nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100) [Homo sapiens] interacts with ribosomal protein S3 [Homo sapiens]	Helper_PPI (good experimental evidence)	nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100) [Homo sapiens]	Protein	ribosomal protein S3 [Homo sapiens]	Protein
heat shock 90kDa protein 1, beta [Homo sapiens] interacts with actin, gamma 1 propeptide [Homo sapiens]	Helper_PPI (good experimental evidence)	heat shock 90kDa protein 1, beta [Homo sapiens]	Protein	actin, gamma 1 propeptide [Homo sapiens]	Protein
retinoic acid receptor, alpha isoform a [Homo sapiens] interacts with transcriptional intermediary factor 1 alpha isoform b [Homo sapiens]	Helper_PPI (good experimental evidence)	retinoic acid receptor, alpha isoform a [Homo sapiens]	Protein	transcriptional intermediary factor 1 alpha isoform b [Homo sapiens]	Protein
mitogen-activated protein kinase kinase kinase 11 [Homo sapiens] interacts with v-akt murine thymoma viral oncogene homolog 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	mitogen-activated protein kinase kinase kinase 11 [Homo sapiens]	Protein	v-akt murine thymoma viral oncogene homolog 1 [Homo sapiens]	Protein
3-phosphoinositide dependent protein kinase-1 isoform 1 [Homo sapiens] interacts with protein kinase C, alpha [Homo sapiens]	Helper_PPI (good experimental evidence)	3-phosphoinositide dependent protein kinase-1 isoform 1 [Homo sapiens]	Protein	protein kinase C, alpha [Homo sapiens]	Protein
mitogen-activated protein kinase kinase kinase 14 [Homo sapiens] interacts with CDC37 homolog [Homo sapiens]	Helper_PPI (good experimental evidence)	mitogen-activated protein kinase kinase kinase 14 [Homo sapiens]	Protein	CDC37 homolog [Homo sapiens]	Protein
insulin-like growth factor 1 receptor precursor [Homo sapiens] interacts with promyelocytic leukemia zinc finger protein [Homo sapiens]	Helper_PPI (Two-hybrid)	insulin-like growth factor 1 receptor precursor [Homo sapiens]	Protein	promyelocytic leukemia zinc finger protein [Homo sapiens]	Protein
transforming growth factor, beta receptor I precursor [Homo sapiens] interacts with phosphoinositide-3-kinase, regulatory subunit, polypeptide 1 isoform 2 [Homo sapiens]	Helper_PPI (good experimental evidence)	transforming growth factor, beta receptor I precursor [Homo sapiens]	Protein	phosphoinositide-3-kinase, regulatory subunit, polypeptide 1 isoform 2 [Homo sapiens]	Protein
heat shock 90kDa protein 1, beta [Homo sapiens] interacts with glyceraldehyde-3-phosphate dehydrogenase [Homo sapiens]	Helper_PPI (good experimental evidence)	heat shock 90kDa protein 1, beta [Homo sapiens]	Protein	glyceraldehyde-3-phosphate dehydrogenase [Homo sapiens]	Protein
TNF receptor-associated factor 6 [Homo sapiens] interacts with interleukin-1 receptor-associated kinase 1 isoform 2 [Homo sapiens]	Helper_PPI (good experimental evidence)	TNF receptor-associated factor 6 [Homo sapiens]	Protein	interleukin-1 receptor-associated kinase 1 isoform 2 [Homo sapiens]	Protein
TNF receptor-associated factor 1 [Homo sapiens] interacts with heat shock protein 90kDa alpha (cytosolic), class A member 1 isoform 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	TNF receptor-associated factor 1 [Homo sapiens]	Protein	heat shock protein 90kDa alpha (cytosolic), class A member 1 isoform 1 [Homo sapiens]	Protein
mitogen-activated protein kinase kinase kinase 1 [Homo sapiens] interacts with v-raf-1 murine leukemia viral oncogene homolog 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	mitogen-activated protein kinase kinase kinase 1 [Homo sapiens]	Protein	v-raf-1 murine leukemia viral oncogene homolog 1 [Homo sapiens]	Protein
cystic fibrosis transmembrane conductance regulator, ATP-binding cassette (sub-family C, member 7) [Homo sapiens] interacts with ubiquitin and ribosomal protein L40 precursor [Homo sapiens]	Helper_PPI (good experimental evidence)	cystic fibrosis transmembrane conductance regulator, ATP-binding cassette (sub-family C, member 7) [Homo sapiens]	Protein	ubiquitin and ribosomal protein L40 precursor [Homo sapiens]	Protein
major histocompatibility complex, class I, B [Homo sapiens] interacts with v-crk sarcoma virus CT10 oncogene homolog isoform b [Homo sapiens]	Helper_PPI (good experimental evidence)	major histocompatibility complex, class I, B [Homo sapiens]	Protein	v-crk sarcoma virus CT10 oncogene homolog isoform b [Homo sapiens]	Protein
paxillin [Homo sapiens] interacts with protein tyrosine phosphatase, non-receptor type 11 [Homo sapiens]	Helper_PPI (good experimental evidence)	paxillin [Homo sapiens]	Protein	protein tyrosine phosphatase, non-receptor type 11 [Homo sapiens]	Protein
paxillin [Homo sapiens] interacts with LIM and senescent cell antigen-like domains 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	paxillin [Homo sapiens]	Protein	LIM and senescent cell antigen-like domains 1 [Homo sapiens]	Protein
v-jun avian sarcoma virus 17 oncogene homolog [Homo sapiens] interacts with protein (peptidyl-prolyl cis/trans isomerase) NIMA-interacting 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	v-jun avian sarcoma virus 17 oncogene homolog [Homo sapiens]	Protein	protein (peptidyl-prolyl cis/trans isomerase) NIMA-interacting 1 [Homo sapiens]	Protein
promyelocytic leukemia zinc finger protein [Homo sapiens] interacts with keratin associated protein 4-12 [Homo sapiens]	Helper_PPI (good experimental evidence)	promyelocytic leukemia zinc finger protein [Homo sapiens]	Protein	keratin associated protein 4-12 [Homo sapiens]	Protein
transforming growth factor, beta receptor I precursor [Homo sapiens] interacts with ubiquitin and ribosomal protein S27a precursor [Homo sapiens]	Helper_PPI (good experimental evidence)	transforming growth factor, beta receptor I precursor [Homo sapiens]	Protein	ubiquitin and ribosomal protein S27a precursor [Homo sapiens]	Protein
cyclin-dependent kinase inhibitor 1A [Homo sapiens] interacts with guanine nucleotide binding protein (G protein), beta polypeptide 2-like 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	cyclin-dependent kinase inhibitor 1A [Homo sapiens]	Protein	guanine nucleotide binding protein (G protein), beta polypeptide 2-like 1 [Homo sapiens]	Protein
fused toes homolog [Homo sapiens] interacts with v-akt murine thymoma viral oncogene homolog 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	fused toes homolog [Homo sapiens]	Protein	v-akt murine thymoma viral oncogene homolog 1 [Homo sapiens]	Protein
eukaryotic translation initiation factor 1B [Homo sapiens] interacts with CDC37 homolog [Homo sapiens]	Helper_PPI (good experimental evidence)	eukaryotic translation initiation factor 1B [Homo sapiens]	Protein	CDC37 homolog [Homo sapiens]	Protein
heterogeneous nuclear ribonucleoprotein D isoform d [Homo sapiens] interacts with tyrosine 3/tryptophan 5 -monooxygenase activation protein, zeta polypeptide [Homo sapiens]	Helper_PPI (good experimental evidence)	heterogeneous nuclear ribonucleoprotein D isoform d [Homo sapiens]	Protein	tyrosine 3/tryptophan 5 -monooxygenase activation protein, zeta polypeptide [Homo sapiens]	Protein
protein phosphatase 2, catalytic subunit, alpha isoform [Homo sapiens] interacts with proto-oncogene tyrosine-protein kinase SRC [Homo sapiens]	Helper_PPI (good experimental evidence)	protein phosphatase 2, catalytic subunit, alpha isoform [Homo sapiens]	Protein	proto-oncogene tyrosine-protein kinase SRC [Homo sapiens]	Protein
IKK-related kinase epsilon [Homo sapiens] interacts with ribosomal protein L18a [Homo sapiens]	Helper_PPI (good experimental evidence)	IKK-related kinase epsilon [Homo sapiens]	Protein	ribosomal protein L18a [Homo sapiens]	Protein
v-raf-1 murine leukemia viral oncogene homolog 1 [Homo sapiens] interacts with p21-activated kinase 2 [Homo sapiens]	Helper_PPI (good experimental evidence)	v-raf-1 murine leukemia viral oncogene homolog 1 [Homo sapiens]	Protein	p21-activated kinase 2 [Homo sapiens]	Protein
receptor-interacting serine-threonine kinase 3 [Homo sapiens] interacts with ribosomal protein L23 [Homo sapiens]	Helper_PPI (good experimental evidence)	receptor-interacting serine-threonine kinase 3 [Homo sapiens]	Protein	ribosomal protein L23 [Homo sapiens]	Protein
CREB binding protein [Homo sapiens] interacts with inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase beta [Homo sapiens]	Helper_PPI (good experimental evidence)	CREB binding protein [Homo sapiens]	Protein	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase beta [Homo sapiens]	Protein
tumor necrosis factor receptor 1 precursor [Homo sapiens] interacts with heat shock protein 90kDa alpha (cytosolic), class A member 1 isoform 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	tumor necrosis factor receptor 1 precursor [Homo sapiens]	Protein	heat shock protein 90kDa alpha (cytosolic), class A member 1 isoform 1 [Homo sapiens]	Protein
myc proto-oncogene protein [Homo sapiens] interacts with insulin receptor substrate 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	myc proto-oncogene protein [Homo sapiens]	Protein	insulin receptor substrate 1 [Homo sapiens]	Protein
ubiquitin and ribosomal protein S27a precursor [Homo sapiens] interacts with catenin (cadherin-associated protein), beta 1, 88kDa [Homo sapiens]	Helper_PPI (good experimental evidence)	ubiquitin and ribosomal protein S27a precursor [Homo sapiens]	Protein	catenin (cadherin-associated protein), beta 1, 88kDa [Homo sapiens]	Protein
IKK-related kinase epsilon [Homo sapiens] interacts with nuclear cap binding protein subunit 2, 20kDa [Homo sapiens]	Helper_PPI (good experimental evidence)	IKK-related kinase epsilon [Homo sapiens]	Protein	nuclear cap binding protein subunit 2, 20kDa [Homo sapiens]	Protein
heat shock 70kDa protein 8 isoform 1 [Homo sapiens] interacts with heat shock protein 90kDa alpha (cytosolic), class A member 1 isoform 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	heat shock 70kDa protein 8 isoform 1 [Homo sapiens]	Protein	heat shock protein 90kDa alpha (cytosolic), class A member 1 isoform 1 [Homo sapiens]	Protein
beta actin [Homo sapiens] interacts with ribosomal protein S24 isoform c [Homo sapiens]	Helper_PPI (good experimental evidence)	beta actin [Homo sapiens]	Protein	ribosomal protein S24 isoform c [Homo sapiens]	Protein
phosphoinositide-3-kinase, catalytic, gamma polypeptide [Homo sapiens] interacts with v-akt murine thymoma viral oncogene homolog 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	phosphoinositide-3-kinase, catalytic, gamma polypeptide [Homo sapiens]	Protein	v-akt murine thymoma viral oncogene homolog 1 [Homo sapiens]	Protein
v-akt murine thymoma viral oncogene homolog 1 [Homo sapiens] interacts with protein kinase C, zeta isoform 2 [Homo sapiens]	Helper_PPI (good experimental evidence)	v-akt murine thymoma viral oncogene homolog 1 [Homo sapiens]	Protein	protein kinase C, zeta isoform 2 [Homo sapiens]	Protein
promyelocytic leukemia zinc finger protein [Homo sapiens] interacts with Sp1 transcription factor [Homo sapiens]	Helper_PPI (good experimental evidence)	promyelocytic leukemia zinc finger protein [Homo sapiens]	Protein	Sp1 transcription factor [Homo sapiens]	Protein
glycogen synthase kinase 3 beta [Homo sapiens] interacts with ubiquitin and ribosomal protein L40 precursor [Homo sapiens]	Helper_PPI (good experimental evidence)	glycogen synthase kinase 3 beta [Homo sapiens]	Protein	ubiquitin and ribosomal protein L40 precursor [Homo sapiens]	Protein
nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, beta isoform b [Homo sapiens] interacts with heat shock protein 90kDa alpha (cytosolic), class A member 1 isoform 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, beta isoform b [Homo sapiens]	Protein	heat shock protein 90kDa alpha (cytosolic), class A member 1 isoform 1 [Homo sapiens]	Protein
IKK-related kinase epsilon [Homo sapiens] interacts with heat shock 70kDa protein 1B [Homo sapiens]	Helper_PPI (good experimental evidence)	IKK-related kinase epsilon [Homo sapiens]	Protein	heat shock 70kDa protein 1B [Homo sapiens]	Protein
eukaryotic translation initiation factor 2 beta [Homo sapiens] interacts with promyelocytic leukemia zinc finger protein [Homo sapiens]	Helper_PPI (Two-hybrid)	eukaryotic translation initiation factor 2 beta [Homo sapiens]	Protein	promyelocytic leukemia zinc finger protein [Homo sapiens]	Protein
mitogen-activated protein kinase 1 [Homo sapiens] interacts with histone deacetylase 4 [Homo sapiens]	Helper_PPI (good experimental evidence)	mitogen-activated protein kinase 1 [Homo sapiens]	Protein	histone deacetylase 4 [Homo sapiens]	Protein
integrin-linked kinase [Homo sapiens] interacts with damage-specific DNA binding protein 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	integrin-linked kinase [Homo sapiens]	Protein	damage-specific DNA binding protein 1 [Homo sapiens]	Protein
TNFRSF1A-associated via death domain isoform 1 [Homo sapiens] interacts with heat shock 70kDa protein 1B [Homo sapiens]	Helper_PPI (good experimental evidence)	TNFRSF1A-associated via death domain isoform 1 [Homo sapiens]	Protein	heat shock 70kDa protein 1B [Homo sapiens]	Protein
N-myc downstream regulated gene 1 [Homo sapiens] interacts with cadherin 1, type 1 preproprotein [Homo sapiens]	Helper_PPI (good experimental evidence)	N-myc downstream regulated gene 1 [Homo sapiens]	Protein	cadherin 1, type 1 preproprotein [Homo sapiens]	Protein
cell division cycle 25A isoform a [Homo sapiens] interacts with ubiquitin and ribosomal protein S27a precursor [Homo sapiens]	Helper_PPI (good experimental evidence)	cell division cycle 25A isoform a [Homo sapiens]	Protein	ubiquitin and ribosomal protein S27a precursor [Homo sapiens]	Protein
nuclear cap binding protein subunit 2, 20kDa [Homo sapiens] interacts with U1 small nuclear ribonucleoprotein 70 kDa isoform b [Homo sapiens]	Helper_PPI (good experimental evidence)	nuclear cap binding protein subunit 2, 20kDa [Homo sapiens]	Protein	U1 small nuclear ribonucleoprotein 70 kDa isoform b [Homo sapiens]	Protein
proteasome 26S non-ATPase subunit 11 [Homo sapiens] interacts with promyelocytic leukemia zinc finger protein [Homo sapiens]	Helper_PPI (Two-hybrid)	proteasome 26S non-ATPase subunit 11 [Homo sapiens]	Protein	promyelocytic leukemia zinc finger protein [Homo sapiens]	Protein
vav 1 oncogene [Homo sapiens] interacts with Cas-Br-M (murine) ecotropic retroviral transforming sequence [Homo sapiens]	Helper_PPI (good experimental evidence)	vav 1 oncogene [Homo sapiens]	Protein	Cas-Br-M (murine) ecotropic retroviral transforming sequence [Homo sapiens]	Protein
tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, gamma polypeptide [Homo sapiens] interacts with U2 (RNU2) small nuclear RNA auxiliary factor 2 isoform b [Homo sapiens]	Helper_PPI (good experimental evidence)	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, gamma polypeptide [Homo sapiens]	Protein	U2 (RNU2) small nuclear RNA auxiliary factor 2 isoform b [Homo sapiens]	Protein
growth factor receptor-bound protein 2 isoform 1 [Homo sapiens] interacts with ribosomal protein S9 [Homo sapiens]	Helper_PPI (good experimental evidence)	growth factor receptor-bound protein 2 isoform 1 [Homo sapiens]	Protein	ribosomal protein S9 [Homo sapiens]	Protein
mitogen-activated protein kinase kinase kinase 3 isoform 2 [Homo sapiens] interacts with ribosomal protein S27 [Homo sapiens]	Helper_PPI (good experimental evidence)	mitogen-activated protein kinase kinase kinase 3 isoform 2 [Homo sapiens]	Protein	ribosomal protein S27 [Homo sapiens]	Protein
growth hormone 1 isoform 1 [Homo sapiens] interacts with mitogen-activated protein kinase 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	growth hormone 1 isoform 1 [Homo sapiens]	Protein	mitogen-activated protein kinase 1 [Homo sapiens]	Protein
ribosomal protein S6 [Homo sapiens] interacts with eukaryotic translation initiation factor 3, subunit 12 [Homo sapiens]	Helper_PPI (good experimental evidence)	ribosomal protein S6 [Homo sapiens]	Protein	eukaryotic translation initiation factor 3, subunit 12 [Homo sapiens]	Protein
TNF receptor-associated factor 6 [Homo sapiens] interacts with protein kinase C, zeta isoform 2 [Homo sapiens]	Helper_PPI (good experimental evidence)	TNF receptor-associated factor 6 [Homo sapiens]	Protein	protein kinase C, zeta isoform 2 [Homo sapiens]	Protein
growth factor receptor-bound protein 2 isoform 1 [Homo sapiens] interacts with ribosomal protein S3 [Homo sapiens]	Helper_PPI (good experimental evidence)	growth factor receptor-bound protein 2 isoform 1 [Homo sapiens]	Protein	ribosomal protein S3 [Homo sapiens]	Protein
heat shock 90kDa protein 1, beta [Homo sapiens] interacts with ribosomal protein S4, X-linked X isoform [Homo sapiens]	Helper_PPI (good experimental evidence)	heat shock 90kDa protein 1, beta [Homo sapiens]	Protein	ribosomal protein S4, X-linked X isoform [Homo sapiens]	Protein
nuclear cap binding protein subunit 2, 20kDa [Homo sapiens] interacts with polypyrimidine tract-binding protein 1 isoform a [Homo sapiens]	Helper_PPI (good experimental evidence)	nuclear cap binding protein subunit 2, 20kDa [Homo sapiens]	Protein	polypyrimidine tract-binding protein 1 isoform a [Homo sapiens]	Protein
paxillin [Homo sapiens] interacts with v-crk sarcoma virus CT10 oncogene homolog isoform b [Homo sapiens]	Helper_PPI (good experimental evidence)	paxillin [Homo sapiens]	Protein	v-crk sarcoma virus CT10 oncogene homolog isoform b [Homo sapiens]	Protein
tyrosine 3/tryptophan 5 -monooxygenase activation protein, zeta polypeptide [Homo sapiens] interacts with splicing factor 3b, subunit 1 isoform 2 [Homo sapiens]	Helper_PPI (good experimental evidence)	tyrosine 3/tryptophan 5 -monooxygenase activation protein, zeta polypeptide [Homo sapiens]	Protein	splicing factor 3b, subunit 1 isoform 2 [Homo sapiens]	Protein
Cas-Br-M (murine) ecotropic retroviral transforming sequence [Homo sapiens] interacts with tyrosine 3/tryptophan 5 -monooxygenase activation protein, zeta polypeptide [Homo sapiens]	Helper_PPI (Two-hybrid)	Cas-Br-M (murine) ecotropic retroviral transforming sequence [Homo sapiens]	Protein	tyrosine 3/tryptophan 5 -monooxygenase activation protein, zeta polypeptide [Homo sapiens]	Protein
insulin-like growth factor 1 receptor precursor [Homo sapiens] interacts with insulin-like growth factor 1 (somatomedin C) [Homo sapiens]	Helper_PPI (good experimental evidence)	insulin-like growth factor 1 receptor precursor [Homo sapiens]	Protein	insulin-like growth factor 1 (somatomedin C) [Homo sapiens]	Protein
nuclear cap binding protein subunit 2, 20kDa [Homo sapiens] interacts with RNA-binding protein S1, serine-rich domain [Homo sapiens]	Helper_PPI (good experimental evidence)	nuclear cap binding protein subunit 2, 20kDa [Homo sapiens]	Protein	RNA-binding protein S1, serine-rich domain [Homo sapiens]	Protein
tyrosine 3/tryptophan 5 -monooxygenase activation protein, zeta polypeptide [Homo sapiens] interacts with disrupted in schizophrenia 1 isoform Lv [Homo sapiens]	Helper_PPI (Two-hybrid)	tyrosine 3/tryptophan 5 -monooxygenase activation protein, zeta polypeptide [Homo sapiens]	Protein	disrupted in schizophrenia 1 isoform Lv [Homo sapiens]	Protein
heat shock protein 90kDa alpha (cytosolic), class A member 1 isoform 1 [Homo sapiens] interacts with hypoxia-inducible factor 1, alpha subunit isoform 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	heat shock protein 90kDa alpha (cytosolic), class A member 1 isoform 1 [Homo sapiens]	Protein	hypoxia-inducible factor 1, alpha subunit isoform 1 [Homo sapiens]	Protein
TNF receptor-associated factor 2 [Homo sapiens] interacts with heat shock 70kDa protein 1B [Homo sapiens]	Helper_PPI (good experimental evidence)	TNF receptor-associated factor 2 [Homo sapiens]	Protein	heat shock 70kDa protein 1B [Homo sapiens]	Protein
phosphoinositide-3-kinase, regulatory subunit, polypeptide 1 isoform 2 [Homo sapiens] interacts with v-crk sarcoma virus CT10 oncogene homolog (avian)-like [Homo sapiens]	Helper_PPI (good experimental evidence)	phosphoinositide-3-kinase, regulatory subunit, polypeptide 1 isoform 2 [Homo sapiens]	Protein	v-crk sarcoma virus CT10 oncogene homolog (avian)-like [Homo sapiens]	Protein
FtsJ homolog 1 isoform a [Homo sapiens] interacts with ribosomal protein L26 [Homo sapiens]	Helper_PPI (good experimental evidence)	FtsJ homolog 1 isoform a [Homo sapiens]	Protein	ribosomal protein L26 [Homo sapiens]	Protein
phosphatidylethanolamine binding protein 1 [Homo sapiens] interacts with v-raf-1 murine leukemia viral oncogene homolog 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	phosphatidylethanolamine binding protein 1 [Homo sapiens]	Protein	v-raf-1 murine leukemia viral oncogene homolog 1 [Homo sapiens]	Protein
ribosomal protein S6 [Homo sapiens] interacts with ribosomal protein L5 [Homo sapiens]	Helper_PPI (good experimental evidence)	ribosomal protein S6 [Homo sapiens]	Protein	ribosomal protein L5 [Homo sapiens]	Protein
Cas-Br-M (murine) ecotropic retroviral transforming sequence [Homo sapiens] interacts with paxillin [Homo sapiens]	Helper_PPI (good experimental evidence)	Cas-Br-M (murine) ecotropic retroviral transforming sequence [Homo sapiens]	Protein	paxillin [Homo sapiens]	Protein
conserved helix-loop-helix ubiquitous kinase [Homo sapiens] interacts with clathrin heavy chain 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	conserved helix-loop-helix ubiquitous kinase [Homo sapiens]	Protein	clathrin heavy chain 1 [Homo sapiens]	Protein
hypothetical protein FLJ20425 [Homo sapiens] interacts with promyelocytic leukemia zinc finger protein [Homo sapiens]	Helper_PPI (Two-hybrid)	hypothetical protein FLJ20425 [Homo sapiens]	Protein	promyelocytic leukemia zinc finger protein [Homo sapiens]	Protein
inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase complex-associated protein [Homo sapiens] interacts with mitogen-activated protein kinase kinase kinase 14 [Homo sapiens]	Helper_PPI (good experimental evidence)	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase complex-associated protein [Homo sapiens]	Protein	mitogen-activated protein kinase kinase kinase 14 [Homo sapiens]	Protein
nuclear receptor subfamily 4, group A, member 1 isoform a [Homo sapiens] interacts with B-cell lymphoma protein 2 alpha isoform [Homo sapiens]	Helper_PPI (good experimental evidence)	nuclear receptor subfamily 4, group A, member 1 isoform a [Homo sapiens]	Protein	B-cell lymphoma protein 2 alpha isoform [Homo sapiens]	Protein
reticuloendotheliosis viral oncogene homolog B [Homo sapiens] interacts with conserved helix-loop-helix ubiquitous kinase [Homo sapiens]	Helper_PPI (good experimental evidence)	reticuloendotheliosis viral oncogene homolog B [Homo sapiens]	Protein	conserved helix-loop-helix ubiquitous kinase [Homo sapiens]	Protein
ribosomal protein S16 [Homo sapiens] interacts with ribosomal protein S6 [Homo sapiens]	Helper_PPI (good experimental evidence)	ribosomal protein S16 [Homo sapiens]	Protein	ribosomal protein S6 [Homo sapiens]	Protein
myc proto-oncogene protein [Homo sapiens] interacts with histone deacetylase 2 [Homo sapiens]	Helper_PPI (good experimental evidence)	myc proto-oncogene protein [Homo sapiens]	Protein	histone deacetylase 2 [Homo sapiens]	Protein
v-akt murine thymoma viral oncogene homolog 1 [Homo sapiens] interacts with inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase beta [Homo sapiens]	Helper_PPI (good experimental evidence)	v-akt murine thymoma viral oncogene homolog 1 [Homo sapiens]	Protein	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase beta [Homo sapiens]	Protein
ribosomal protein S6 [Homo sapiens] interacts with 60S ribosomal protein L7a [Homo sapiens]	Helper_PPI (good experimental evidence)	ribosomal protein S6 [Homo sapiens]	Protein	60S ribosomal protein L7a [Homo sapiens]	Protein
ribosomal protein S6 [Homo sapiens] interacts with ribosomal protein P1 isoform 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	ribosomal protein S6 [Homo sapiens]	Protein	ribosomal protein P1 isoform 1 [Homo sapiens]	Protein
tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, gamma polypeptide [Homo sapiens] interacts with N-myc downstream regulated gene 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, gamma polypeptide [Homo sapiens]	Protein	N-myc downstream regulated gene 1 [Homo sapiens]	Protein
nuclear cap binding protein subunit 2, 20kDa [Homo sapiens] interacts with serine/arginine repetitive matrix 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	nuclear cap binding protein subunit 2, 20kDa [Homo sapiens]	Protein	serine/arginine repetitive matrix 1 [Homo sapiens]	Protein
nuclear cap binding protein subunit 2, 20kDa [Homo sapiens] interacts with fusion (involved in t(12;16) in malignant liposarcoma) isoform b [Homo sapiens]	Helper_PPI (good experimental evidence)	nuclear cap binding protein subunit 2, 20kDa [Homo sapiens]	Protein	fusion (involved in t(12;16) in malignant liposarcoma) isoform b [Homo sapiens]	Protein
mitogen-activated protein kinase kinase kinase 7 isoform A [Homo sapiens] interacts with p21-activated kinase 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	mitogen-activated protein kinase kinase kinase 7 isoform A [Homo sapiens]	Protein	p21-activated kinase 1 [Homo sapiens]	Protein
