Object	Object type	Related Gene	Topological rank	Relevance rank	Expression rank	Related objects (Gene elements).Object	Related objects (Gene elements).Object type	Related objects (Gene elements).Pathways
phosphoinositide-3-kinase, regulatory subunit, polypeptide 1 isoform 2 [Homo sapiens]	Protein	PIK3R1 [Homo sapiens]	99	0	1.1240608918611177	PIK3R1 [Homo sapiens]	Gene	Chronic myeloid leukemia [Homo sapiens];T cell receptor signaling pathway [Homo sapiens];Focal adhesion [Homo sapiens];VEGF signaling pathway [Homo sapiens];Regulation of actin cytoskeleton [Homo sapiens];Glioma [Homo sapiens];Natural killer cell mediated cytotoxicity [Homo sapiens];B cell receptor signaling pathway [Homo sapiens];Pancreatic cancer [Homo sapiens];Fc epsilon RI signaling pathway [Homo sapiens];Leukocyte transendothelial migration [Homo sapiens];Type II diabetes mellitus [Homo sapiens];Insulin signaling pathway [Homo sapiens];Toll-like receptor signaling pathway [Homo sapiens];mTOR signaling pathway [Homo sapiens];Apoptosis [Homo sapiens];Colorectal cancer [Homo sapiens];Jak-STAT signaling pathway [Homo sapiens];ErbB signaling pathway [Homo sapiens];Acute myeloid leukemia [Homo sapiens];Melanoma [Homo sapiens];Small cell lung cancer [Homo sapiens];Renal cell carcinoma [Homo sapiens];Endometrial cancer [Homo sapiens];Prostate cancer [Homo sapiens];Non-small cell lung cancer [Homo sapiens];Phosphatidylinositol signaling system [Homo sapiens];AKT-mTOR_regulated_skeletal-muscle-hypertrophy;IGF-1_PI3K_Akt;IL-6_atrophy;IL12-MMP9_pathway_blood;IL13_PI3K_AKT1_pathway_lung;Insulin-MAPK-PI3K-AKT_pathway_
protein (peptidyl-prolyl cis/trans isomerase) NIMA-interacting 1 [Homo sapiens]	Protein	PIN1 [Homo sapiens]	78	1	0.9950313231740693	PIN1 [Homo sapiens];BAD [Homo sapiens];TRIM4 [Homo sapiens]	Gene;Gene;Gene	Dentatorubropallidoluysian atrophy (DRPLA) [Homo sapiens];Ubiquitin mediated proteolysis [Homo sapiens];Apoptosis [Homo sapiens];Pancreatic cancer [Homo sapiens];Chronic myeloid leukemia [Homo sapiens];Colorectal cancer [Homo sapiens];VEGF signaling pathway [Homo sapiens];Insulin signaling pathway [Homo sapiens];Focal adhesion [Homo sapiens];Non-small cell lung cancer [Homo sapiens];Endometrial cancer [Homo sapiens];Prostate cancer [Homo sapiens];ErbB signaling pathway [Homo sapiens];Acute myeloid leukemia [Homo sapiens];Melanoma [Homo sapiens];Amyotrophic lateral sclerosis (ALS) [Homo sapiens];Neurodegenerative Diseases [Homo sapiens];IGF-1_PI3K_Akt;Insulin-MAPK-PI3K-AKT_pathway_;muscle_angiogenesis_pathway_blood;NO_ceramide_apoptosis_pathway_lung;
protein kinase N2 [Homo sapiens]	Protein	PKN2 [Homo sapiens]	10	1	0.9698850211083673	PKN2 [Homo sapiens]	Gene	
phospholipid scramblase 1 [Homo sapiens]	Protein	PLSCR1 [Homo sapiens]	69	2	0.6941913752934904	PLSCR1 [Homo sapiens]	Gene	
promyelocytic leukemia protein isoform 6 [Homo sapiens]	Protein	PML [Homo sapiens]	68	3	0.8447877213970231	PML [Homo sapiens];B9D2 [Homo sapiens];DNAJB13 [Homo sapiens];GMIP [Homo sapiens];PRKAB2 [Homo sapiens]	Gene;Gene;Gene;Gene;Gene	Acute myeloid leukemia [Homo sapiens];Ubiquitin mediated proteolysis [Homo sapiens];;;;Adipocytokine signaling pathway [Homo sapiens];Insulin signaling pathway [Homo sapiens]
pinin, desmosome associated protein [Homo sapiens]	Protein	PNN [Homo sapiens]	14	1	0.9806971636099436	PNN [Homo sapiens]	Gene	
DNA directed RNA polymerase II polypeptide B [Homo sapiens]	Protein	POLR2B [Homo sapiens]	191	1	1.0728196529223648	POLR2B [Homo sapiens]	Gene	RNA polymerase [Homo sapiens];Pyrimidine metabolism [Homo sapiens];Purine metabolism [Homo sapiens]
DNA directed RNA polymerase II polypeptide L [Homo sapiens]	Protein	POLR2L [Homo sapiens]	212	1	1.0685689626147334	POLR2L [Homo sapiens];APOA1BP [Homo sapiens];ARL2 [Homo sapiens];ARPC1A [Homo sapiens];CALR3 [Homo sapiens];COPS8 [Homo sapiens];DIS3L2 [Homo sapiens];ERCC1 [Homo sapiens];JMJD4 [Homo sapiens];MECR [Homo sapiens];MRPL41 [Homo sapiens];MRPS12 [Homo sapiens];MRPS34 [Homo sapiens];NDUFB10 [Homo sapiens];PDZD11 [Homo sapiens];PSMD8 [Homo sapiens];SRM [Homo sapiens];SRMS [Homo sapiens];TIMM22 [Homo sapiens];UQCRQ [Homo sapiens]	Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene	RNA polymerase [Homo sapiens];Pyrimidine metabolism [Homo sapiens];Purine metabolism [Homo sapiens];;;Regulation of actin cytoskeleton [Homo sapiens];Pathogenic Escherichia coli infection [Homo sapiens];;;;Nucleotide excision repair [Homo sapiens];;Fatty acid elongation in mitochondria [Homo sapiens];;;;Oxidative phosphorylation [Homo sapiens];Parkinson's disease [Homo sapiens];;Ubiquitin_proteasome_pathway;Urea cycle and metabolism of amino groups [Homo sapiens];Methionine metabolism [Homo sapiens];beta-Alanine metabolism [Homo sapiens];Glutathione metabolism [Homo sapiens];;;Oxidative phosphorylation [Homo sapiens];Parkinson's disease [Homo sapiens]
protein phosphatase 2, catalytic subunit, alpha isoform [Homo sapiens]	Protein	PPP2CA [Homo sapiens]	27	3	1.0571545440381713	PPP2CA [Homo sapiens]	Gene	TGF-beta signaling pathway [Homo sapiens];Wnt signaling pathway [Homo sapiens];Tight junction [Homo sapiens];Long-term depression [Homo sapiens];AKT-mTOR_regulated_skeletal-muscle-hypertrophy;Insulin-MAPK-PI3K-AKT_pathway_;Thrombin_PI3K_pathway_lung;TNF-alpha-apoptosis
AMP-activated protein kinase beta 1 non-catalytic subunit [Homo sapiens]	Protein	PRKAB1 [Homo sapiens]	159	2	0.7381412552857293	PRKAB1 [Homo sapiens]	Gene	Adipocytokine signaling pathway [Homo sapiens];Insulin signaling pathway [Homo sapiens]
protein kinase C, alpha [Homo sapiens]	Protein	PRKCA [Homo sapiens]	46	1	1.13805904168766	PRKCA [Homo sapiens]	Gene	MAPK signaling pathway [Homo sapiens];Long-term depression [Homo sapiens];GnRH signaling pathway [Homo sapiens];VEGF signaling pathway [Homo sapiens];Tight junction [Homo sapiens];Focal adhesion [Homo sapiens];Gap junction [Homo sapiens];Glioma [Homo sapiens];Leukocyte transendothelial migration [Homo sapiens];Long-term potentiation [Homo sapiens];Fc epsilon RI signaling pathway [Homo sapiens];Calcium signaling pathway [Homo sapiens];Natural killer cell mediated cytotoxicity [Homo sapiens];Non-small cell lung cancer [Homo sapiens];Melanogenesis [Homo sapiens];ErbB signaling pathway [Homo sapiens];Wnt signaling pathway [Homo sapiens];Phosphatidylinositol signaling system [Homo sapiens];Cholera [Homo sapiens];Pathogenic Escherichia coli infection [Homo sapiens];Vibrio cholerae infection [Homo sapiens];Insulin-MAPK-PI3K-AKT_pathway_;muscle_angiogenesis_pathway_blood;TNF_NFkB_MMP9_pathway_lung
protein kinase C, delta [Homo sapiens]	Protein	PRKCD [Homo sapiens]	31	2	0.5414498825969867	PRKCD [Homo sapiens]	Gene	Type II diabetes mellitus [Homo sapiens];MAPK signaling pathway [Homo sapiens];ErbB signaling pathway [Homo sapiens];Calcium signaling pathway [Homo sapiens];Wnt signaling pathway [Homo sapiens];VEGF signaling pathway [Homo sapiens];Focal adhesion [Homo sapiens];Tight junction [Homo sapiens];Gap junction [Homo sapiens];Natural killer cell mediated cytotoxicity [Homo sapiens];Fc epsilon RI signaling pathway [Homo sapiens];Leukocyte transendothelial migration [Homo sapiens];Long-term potentiation [Homo sapiens];Long-term depression [Homo sapiens];GnRH signaling pathway [Homo sapiens];Melanogenesis [Homo sapiens];Cholera [Homo sapiens];Vibrio cholerae infection [Homo sapiens];Pathogenic Escherichia coli infection [Homo sapiens];Glioma [Homo sapiens];Non-small cell lung cancer [Homo sapiens]
protein kinase C, epsilon [Homo sapiens]	Protein	PRKCE [Homo sapiens]	18	1	0.8542758919935077	PRKCE [Homo sapiens]	Gene	Type II diabetes mellitus [Homo sapiens];MAPK signaling pathway [Homo sapiens];ErbB signaling pathway [Homo sapiens];Calcium signaling pathway [Homo sapiens];Wnt signaling pathway [Homo sapiens];VEGF signaling pathway [Homo sapiens];Focal adhesion [Homo sapiens];Tight junction [Homo sapiens];Gap junction [Homo sapiens];Natural killer cell mediated cytotoxicity [Homo sapiens];Fc epsilon RI signaling pathway [Homo sapiens];Leukocyte transendothelial migration [Homo sapiens];Long-term potentiation [Homo sapiens];Long-term depression [Homo sapiens];GnRH signaling pathway [Homo sapiens];Melanogenesis [Homo sapiens];Cholera [Homo sapiens];Vibrio cholerae infection [Homo sapiens];Pathogenic Escherichia coli infection [Homo sapiens];Glioma [Homo sapiens];Non-small cell lung cancer [Homo sapiens]
protein kinase C, iota [Homo sapiens]	Protein	PRKCI [Homo sapiens]	24	1	1.1151731487573866	PRKCI [Homo sapiens]	Gene	Tight junction [Homo sapiens];Insulin signaling pathway [Homo sapiens];AKT-mTOR_regulated_skeletal-muscle-hypertrophy;TNF_NFkB_MMP9_pathway_lung
protein kinase C, zeta isoform 2 [Homo sapiens]	Protein	PRKCZ [Homo sapiens]	40	1	0.4405624207433743	PRKCZ [Homo sapiens]	Gene	Tight junction [Homo sapiens];Insulin signaling pathway [Homo sapiens];Type II diabetes mellitus [Homo sapiens];AKT-mTOR_regulated_skeletal-muscle-hypertrophy;TNF_NFkB_MMP9_pathway_lung
protein kinase D1 [Homo sapiens]	Protein	PRKD1 [Homo sapiens]	13	1	1.272317326909848	PRKD1 [Homo sapiens]	Gene	
proteasome 26S non-ATPase subunit 11 [Homo sapiens]	Protein	PSMD11 [Homo sapiens]	72	1	1.08917107709278	PSMD11 [Homo sapiens];AP2S1 [Homo sapiens];CCT2 [Homo sapiens];EFTUD2 [Homo sapiens];EIF2S2 [Homo sapiens];FEN1 [Homo sapiens];G3BP1 [Homo sapiens];GCN1L1 [Homo sapiens];GLRX3 [Homo sapiens];GUCY1A3 [Homo sapiens];ITGA9 [Homo sapiens];MAD2L1 [Homo sapiens];MAD2L2 [Homo sapiens];MAP3K15 [Homo sapiens];NMT1 [Homo sapiens];NUP160 [Homo sapiens];NUP205 [Homo sapiens];OGFOD1 [Homo sapiens];PCMTD1 [Homo sapiens];PSMB2 [Homo sapiens];PSMC3 [Homo sapiens];PSME3 [Homo sapiens];PSPC1 [Homo sapiens];RAE1 [Homo sapiens];RNASEH1 [Homo sapiens];RNASEH1P1 [Homo sapiens];RRM1 [Homo sapiens];SAAL1 [Homo sapiens];SAE1 [Homo sapiens];SENP1 [Homo sapiens];SERPING1 [Homo sapiens];SPAG5 [Homo sapiens];STIP1 [Homo sapiens];TSR1 [Homo sapiens];TUBG1 [Homo sapiens];YRDC [Homo sapiens];ZWILCH [Homo sapiens]	Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene	Proteasome [Homo sapiens];Ubiquitin_proteasome_pathway;;;;;DNA polymerase [Homo sapiens];DNA replication [Homo sapiens];Base excision repair [Homo sapiens];;;;Long-term depression [Homo sapiens];Gap junction [Homo sapiens];Purine metabolism [Homo sapiens];Regulation of actin cytoskeleton [Homo sapiens];ECM-receptor interaction [Homo sapiens];Cell adhesion molecules (CAMs) [Homo sapiens];Focal adhesion [Homo sapiens];Cell cycle [Homo sapiens];Cell cycle [Homo sapiens];;;;;;;Proteasome [Homo sapiens];Proteasome [Homo sapiens];Ubiquitin_proteasome_pathway;Antigen processing and presentation [Homo sapiens];;;DNA polymerase [Homo sapiens];DNA replication [Homo sapiens];;p53 signaling pathway [Homo sapiens];Pyrimidine metabolism [Homo sapiens];Purine metabolism [Homo sapiens];Glutathione metabolism [Homo sapiens];;Ubiquitin mediated proteolysis [Homo sapiens];;Complement and coagulation cascades [Homo sapiens];;;;;;
